date,store_id,product_id,units_sold,unit_price,promotion_discount,sales_revenue,high_demand_flag
2025-03-03,S01,P0001,27,2.41,0.0,65.07,0
2025-03-04,S01,P0001,20,2.41,0.0,48.2,0
2025-03-05,S01,P0001,22,2.41,0.0,53.02,0
2025-03-06,S01,P0001,26,2.41,0.0,62.66,0
2025-03-07,S01,P0001,21,2.41,0.0,50.61,0
2025-03-08,S01,P0001,32,2.41,0.0,77.12,0
2025-03-09,S01,P0001,29,2.41,0.0,69.89,0
2025-03-10,S01,P0001,26,2.41,0.0,62.66,0
2025-03-11,S01,P0001,27,2.41,0.0,65.07,0
2025-03-12,S01,P0001,34,2.41,0.0,81.94,1
2025-03-13,S01,P0001,22,2.41,0.0,53.02,0
2025-03-14,S01,P0001,33,2.41,0.0,79.53,0
2025-03-15,S01,P0001,25,2.41,0.0,60.25,0
2025-03-16,S01,P0001,35,2.41,0.0,84.35,0
2025-03-17,S01,P0001,25,2.41,0.0,60.25,0
2025-03-18,S01,P0001,17,2.41,0.0,40.97,0
2025-03-19,S01,P0001,32,2.41,0.0,77.12,0
2025-03-20,S01,P0001,22,2.41,0.0,53.02,0
2025-03-21,S01,P0001,27,2.41,0.0,65.07,0
2025-03-22,S01,P0001,31,2.41,0.0,74.71,0
2025-03-23,S01,P0001,21,2.41,0.0,50.61,0
2025-03-24,S01,P0001,25,2.41,0.0,60.25,0
2025-03-25,S01,P0001,27,2.41,0.0,65.07,0
2025-03-26,S01,P0001,28,2.41,0.0,67.48,0
2025-03-27,S01,P0001,22,2.41,0.0,53.02,0
2025-03-28,S01,P0001,27,2.41,0.0,65.07,0
2025-03-29,S01,P0001,32,2.41,0.0,77.12,0
2025-03-30,S01,P0001,21,2.41,0.0,50.61,0
2025-03-31,S01,P0001,21,2.41,0.0,50.61,0
2025-04-01,S01,P0001,32,2.41,0.0,77.12,0
2025-04-02,S01,P0001,29,2.41,0.0,69.89,0
2025-04-03,S01,P0001,26,2.41,0.0,62.66,0
2025-04-04,S01,P0001,20,2.41,0.0,48.2,0
2025-04-05,S01,P0001,26,2.41,0.0,62.66,0
2025-04-06,S01,P0001,32,2.41,0.0,77.12,0
2025-04-07,S01,P0001,34,2.41,0.0,81.94,1
2025-04-08,S01,P0001,33,2.41,0.0,79.53,0
2025-04-09,S01,P0001,21,2.41,0.0,50.61,0
2025-04-10,S01,P0001,30,2.41,0.0,72.3,0
2025-04-11,S01,P0001,19,2.41,0.0,45.79,0
2025-04-12,S01,P0001,40,2.41,0.0,96.4,0
2025-04-13,S01,P0001,30,2.41,0.0,72.3,0
2025-04-14,S01,P0001,18,2.41,0.0,43.38,0
2025-04-15,S01,P0001,31,2.41,0.0,74.71,0
2025-04-16,S01,P0001,27,2.41,0.0,65.07,0
2025-04-17,S01,P0001,22,2.41,0.0,53.02,0
2025-04-18,S01,P0001,29,2.41,0.0,69.89,0
2025-04-19,S01,P0001,29,2.41,0.0,69.89,0
2025-04-20,S01,P0001,34,2.41,0.0,81.94,0
2025-04-21,S01,P0001,27,2.41,0.0,65.07,0
2025-04-22,S01,P0001,31,2.41,0.0,74.71,0
2025-04-23,S01,P0001,22,2.41,0.0,53.02,0
2025-04-24,S01,P0001,25,2.41,0.0,60.25,0
2025-04-25,S01,P0001,24,2.41,0.0,57.84,0
2025-04-26,S01,P0001,26,2.41,0.0,62.66,0
2025-04-27,S01,P0001,13,2.41,0.0,31.33,0
2025-04-28,S01,P0001,29,2.41,0.0,69.89,0
2025-04-29,S01,P0001,18,2.41,0.0,43.38,0
2025-04-30,S01,P0001,28,2.41,0.0,67.48,0
2025-05-01,S01,P0001,26,2.41,0.0,62.66,0
2025-05-02,S01,P0001,25,2.41,0.0,60.25,0
2025-05-03,S01,P0001,29,2.41,0.0,69.89,0
2025-05-04,S01,P0001,34,2.41,0.0,81.94,0
2025-05-05,S01,P0001,23,2.41,0.0,55.43,0
2025-05-06,S01,P0001,23,2.41,0.0,55.43,0
2025-05-07,S01,P0001,18,2.41,0.0,43.38,0
2025-05-08,S01,P0001,25,2.41,0.0,60.25,0
2025-05-09,S01,P0001,26,2.41,0.0,62.66,0
2025-05-10,S01,P0001,41,2.41,0.0,98.81,1
2025-05-11,S01,P0001,29,2.41,0.0,69.89,0
2025-05-12,S01,P0001,23,2.41,0.0,55.43,0
2025-05-13,S01,P0001,22,2.41,0.0,53.02,0
2025-05-14,S01,P0001,12,2.41,0.0,28.92,0
2025-05-15,S01,P0001,30,2.41,0.0,72.3,0
2025-05-16,S01,P0001,23,2.41,0.0,55.43,0
2025-05-17,S01,P0001,28,2.41,0.0,67.48,0
2025-05-18,S01,P0001,22,2.41,0.0,53.02,0
2025-05-19,S01,P0001,22,2.41,0.0,53.02,0
2025-05-20,S01,P0001,25,2.41,0.0,60.25,0
2025-05-21,S01,P0001,22,2.41,0.0,53.02,0
2025-05-22,S01,P0001,23,2.41,0.0,55.43,0
2025-05-23,S01,P0001,26,2.41,0.0,62.66,0
2025-05-24,S01,P0001,18,2.41,0.0,43.38,0
2025-05-25,S01,P0001,39,2.41,0.0,93.99,1
2025-05-26,S01,P0001,22,2.41,0.0,53.02,0
2025-05-27,S01,P0001,23,2.41,0.0,55.43,0
2025-05-28,S01,P0001,33,2.41,0.0,79.53,1
2025-05-29,S01,P0001,18,2.41,0.0,43.38,0
2025-05-30,S01,P0001,16,2.41,0.0,38.56,0
2025-05-31,S01,P0001,19,2.41,0.0,45.79,0
2025-06-01,S01,P0001,18,2.41,0.0,43.38,0
2025-06-02,S01,P0001,29,2.41,0.0,69.89,0
2025-06-03,S01,P0001,28,2.41,0.0,67.48,0
2025-06-04,S01,P0001,16,2.41,0.0,38.56,0
2025-06-05,S01,P0001,26,2.41,0.0,62.66,0
2025-06-06,S01,P0001,19,2.41,0.0,45.79,0
2025-06-07,S01,P0001,31,2.41,0.0,74.71,0
2025-06-08,S01,P0001,25,2.41,0.0,60.25,0
2025-06-09,S01,P0001,29,2.41,0.0,69.89,0
2025-06-10,S01,P0001,26,2.41,0.0,62.66,0
2025-06-11,S01,P0001,23,2.41,0.0,55.43,0
2025-06-12,S01,P0001,20,2.41,0.0,48.2,0
2025-06-13,S01,P0001,21,2.41,0.0,50.61,0
2025-06-14,S01,P0001,35,2.41,0.0,84.35,0
2025-06-15,S01,P0001,24,2.41,0.0,57.84,0
2025-06-16,S01,P0001,33,2.41,0.0,79.53,1
2025-06-17,S01,P0001,24,2.41,0.0,57.84,0
2025-06-18,S01,P0001,19,2.41,0.0,45.79,0
2025-06-19,S01,P0001,25,2.41,0.0,60.25,0
2025-06-20,S01,P0001,26,2.41,0.0,62.66,0
2025-06-21,S01,P0001,18,2.41,0.0,43.38,0
2025-06-22,S01,P0001,16,2.41,0.0,38.56,0
2025-06-23,S01,P0001,21,2.41,0.0,50.61,0
2025-06-24,S01,P0001,20,2.41,0.0,48.2,0
2025-06-25,S01,P0001,16,2.41,0.0,38.56,0
2025-06-26,S01,P0001,23,2.41,0.0,55.43,0
2025-06-27,S01,P0001,14,2.41,0.0,33.74,0
2025-06-28,S01,P0001,17,2.41,0.0,40.97,0
2025-06-29,S01,P0001,29,2.41,0.0,69.89,0
2025-06-30,S01,P0001,20,2.41,0.0,48.2,0
2025-07-01,S01,P0001,20,2.41,0.0,48.2,0
2025-07-02,S01,P0001,25,2.41,0.0,60.25,0
2025-07-03,S01,P0001,20,2.41,0.0,48.2,0
2025-07-04,S01,P0001,15,2.41,0.0,36.15,0
2025-07-05,S01,P0001,15,2.41,0.0,36.15,0
2025-07-06,S01,P0001,18,2.41,0.0,43.38,0
2025-07-07,S01,P0001,25,2.41,0.0,60.25,0
2025-07-08,S01,P0001,33,2.41,0.0,79.53,1
2025-07-09,S01,P0001,18,2.41,0.0,43.38,0
2025-07-10,S01,P0001,13,2.41,0.0,31.33,0
2025-07-11,S01,P0001,23,2.41,0.0,55.43,0
2025-07-12,S01,P0001,24,2.41,0.0,57.84,0
2025-07-13,S01,P0001,26,2.41,0.0,62.66,0
2025-07-14,S01,P0001,10,2.41,0.0,24.1,0
2025-07-15,S01,P0001,20,2.41,0.0,48.2,0
2025-07-16,S01,P0001,17,2.41,0.0,40.97,0
2025-07-17,S01,P0001,20,2.41,0.0,48.2,0
2025-07-18,S01,P0001,22,2.41,0.0,53.02,0
2025-07-19,S01,P0001,28,2.41,0.0,67.48,0
2025-07-20,S01,P0001,22,2.41,0.0,53.02,0
2025-07-21,S01,P0001,23,2.41,0.0,55.43,0
2025-07-22,S01,P0001,30,2.41,0.0,72.3,1
2025-07-23,S01,P0001,22,2.41,0.0,53.02,0
2025-07-24,S01,P0001,10,2.41,0.0,24.1,0
2025-07-25,S01,P0001,18,2.41,0.0,43.38,0
2025-07-26,S01,P0001,25,2.41,0.0,60.25,0
2025-07-27,S01,P0001,30,2.41,0.0,72.3,0
2025-07-28,S01,P0001,19,2.41,0.0,45.79,0
2025-07-29,S01,P0001,25,2.41,0.0,60.25,0
2025-07-30,S01,P0001,19,2.41,0.0,45.79,0
2025-07-31,S01,P0001,30,2.41,0.0,72.3,1
2025-08-01,S01,P0001,16,2.41,0.0,38.56,0
2025-08-02,S01,P0001,25,2.41,0.0,60.25,0
2025-08-03,S01,P0001,17,2.41,0.0,40.97,0
2025-08-04,S01,P0001,20,2.41,0.0,48.2,0
2025-08-05,S01,P0001,20,2.41,0.0,48.2,0
2025-08-06,S01,P0001,20,2.41,0.0,48.2,0
2025-08-07,S01,P0001,25,2.41,0.0,60.25,0
2025-08-08,S01,P0001,14,2.41,0.0,33.74,0
2025-08-09,S01,P0001,27,2.41,0.0,65.07,0
2025-08-10,S01,P0001,26,2.41,0.0,62.66,0
2025-08-11,S01,P0001,14,2.41,0.0,33.74,0
2025-08-12,S01,P0001,17,2.41,0.0,40.97,0
2025-08-13,S01,P0001,18,2.41,0.0,43.38,0
2025-08-14,S01,P0001,26,2.41,0.0,62.66,1
2025-08-15,S01,P0001,19,2.41,0.0,45.79,0
2025-08-16,S01,P0001,21,2.41,0.0,50.61,0
2025-08-17,S01,P0001,23,2.41,0.0,55.43,0
2025-08-18,S01,P0001,19,2.41,0.0,45.79,0
2025-08-19,S01,P0001,21,2.41,0.0,50.61,0
2025-08-20,S01,P0001,11,2.41,0.0,26.51,0
2025-08-21,S01,P0001,13,2.41,0.0,31.33,0
2025-08-22,S01,P0001,13,2.41,0.0,31.33,0
2025-08-23,S01,P0001,18,2.41,0.0,43.38,0
2025-08-24,S01,P0001,30,2.41,0.0,72.3,0
2025-08-25,S01,P0001,21,2.41,0.0,50.61,0
2025-08-26,S01,P0001,14,2.41,0.0,33.74,0
2025-08-27,S01,P0001,14,2.41,0.0,33.74,0
2025-08-28,S01,P0001,14,2.41,0.0,33.74,0
2025-08-29,S01,P0001,13,2.41,0.0,31.33,0
2025-08-30,S01,P0001,18,2.41,0.0,43.38,0
2025-08-31,S01,P0001,22,2.41,0.0,53.02,0
2025-09-01,S01,P0001,20,2.41,0.0,48.2,0
2025-09-02,S01,P0001,10,2.41,0.0,24.1,0
2025-09-03,S01,P0001,14,2.41,0.0,33.74,0
2025-09-04,S01,P0001,17,2.41,0.0,40.97,0
2025-09-05,S01,P0001,20,2.41,0.0,48.2,0
2025-09-06,S01,P0001,22,2.41,0.0,53.02,0
2025-09-07,S01,P0001,10,2.41,0.0,24.1,0
2025-09-08,S01,P0001,18,2.41,0.0,43.38,0
2025-09-09,S01,P0001,12,2.41,0.0,28.92,0
2025-09-10,S01,P0001,19,2.41,0.0,45.79,0
2025-09-11,S01,P0001,15,2.41,0.0,36.15,0
2025-09-12,S01,P0001,14,2.41,0.0,33.74,0
2025-09-13,S01,P0001,23,2.41,0.0,55.43,0
2025-09-14,S01,P0001,26,2.41,0.0,62.66,0
2025-09-15,S01,P0001,11,2.41,0.0,26.51,0
2025-09-16,S01,P0001,19,2.41,0.0,45.79,0
2025-09-17,S01,P0001,17,2.41,0.0,40.97,0
2025-09-18,S01,P0001,15,2.41,0.0,36.15,0
2025-09-19,S01,P0001,20,2.41,0.0,48.2,0
2025-09-20,S01,P0001,23,2.41,0.0,55.43,0
2025-09-21,S01,P0001,15,2.41,0.0,36.15,0
2025-09-22,S01,P0001,15,2.41,0.0,36.15,0
2025-09-23,S01,P0001,14,2.41,0.0,33.74,0
2025-09-24,S01,P0001,11,2.41,0.0,26.51,0
2025-09-25,S01,P0001,12,2.41,0.0,28.92,0
2025-09-26,S01,P0001,23,2.41,0.0,55.43,0
2025-09-27,S01,P0001,17,2.41,0.0,40.97,0
2025-09-28,S01,P0001,30,2.41,0.0,72.3,1
2025-09-29,S01,P0001,19,2.41,0.0,45.79,0
2025-09-30,S01,P0001,22,2.41,0.0,53.02,0
2025-10-01,S01,P0001,16,2.41,0.0,38.56,0
2025-10-02,S01,P0001,18,2.41,0.0,43.38,0
2025-10-03,S01,P0001,12,2.41,0.0,28.92,0
2025-10-04,S01,P0001,19,2.41,0.0,45.79,0
2025-10-05,S01,P0001,16,2.41,0.0,38.56,0
2025-10-06,S01,P0001,19,2.41,0.0,45.79,0
2025-10-07,S01,P0001,16,2.41,0.0,38.56,0
2025-10-08,S01,P0001,16,2.41,0.0,38.56,0
2025-10-09,S01,P0001,15,2.41,0.0,36.15,0
2025-10-10,S01,P0001,22,2.41,0.0,53.02,0
2025-10-11,S01,P0001,21,2.41,0.0,50.61,0
2025-10-12,S01,P0001,20,2.41,0.0,48.2,0
2025-10-13,S01,P0001,27,2.41,0.0,65.07,1
2025-10-14,S01,P0001,19,2.41,0.0,45.79,0
2025-10-15,S01,P0001,13,2.41,0.0,31.33,0
2025-10-16,S01,P0001,14,2.41,0.0,33.74,0
2025-10-17,S01,P0001,20,2.41,0.0,48.2,0
2025-10-18,S01,P0001,20,2.41,0.0,48.2,0
2025-10-19,S01,P0001,20,2.41,0.0,48.2,0
2025-10-20,S01,P0001,17,2.41,0.0,40.97,0
2025-10-21,S01,P0001,18,2.41,0.0,43.38,0
2025-10-22,S01,P0001,22,2.41,0.0,53.02,0
2025-10-23,S01,P0001,15,2.41,0.0,36.15,0
2025-10-24,S01,P0001,17,2.41,0.0,40.97,0
2025-10-25,S01,P0001,29,2.41,0.0,69.89,0
2025-10-26,S01,P0001,24,2.41,0.0,57.84,0
2025-10-27,S01,P0001,13,2.41,0.0,31.33,0
2025-10-28,S01,P0001,20,2.41,0.0,48.2,0
2025-10-29,S01,P0001,13,2.41,0.0,31.33,0
2025-10-30,S01,P0001,15,2.41,0.0,36.15,0
2025-10-31,S01,P0001,16,2.41,0.0,38.56,0
2025-11-01,S01,P0001,16,2.41,0.0,38.56,0
2025-11-02,S01,P0001,27,2.41,0.0,65.07,0
2025-11-03,S01,P0001,15,2.41,0.0,36.15,0
2025-11-04,S01,P0001,22,2.41,0.0,53.02,0
2025-11-05,S01,P0001,21,2.41,0.0,50.61,0
2025-11-06,S01,P0001,15,2.41,0.0,36.15,0
2025-11-07,S01,P0001,20,2.41,0.0,48.2,0
2025-11-08,S01,P0001,22,2.41,0.0,53.02,0
2025-11-09,S01,P0001,17,2.41,0.0,40.97,0
2025-11-10,S01,P0001,19,2.41,0.0,45.79,0
2025-11-11,S01,P0001,27,2.41,0.0,65.07,1
2025-11-12,S01,P0001,22,2.41,0.0,53.02,0
2025-11-13,S01,P0001,20,2.41,0.0,48.2,0
2025-11-14,S01,P0001,18,2.41,0.0,43.38,0
2025-11-15,S01,P0001,22,2.41,0.0,53.02,0
2025-11-16,S01,P0001,29,2.41,0.0,69.89,0
2025-11-17,S01,P0001,20,2.41,0.0,48.2,0
2025-11-18,S01,P0001,10,2.41,0.0,24.1,0
2025-11-19,S01,P0001,23,2.41,0.0,55.43,0
2025-11-20,S01,P0001,17,2.41,0.0,40.97,0
2025-11-21,S01,P0001,17,2.41,0.0,40.97,0
2025-11-22,S01,P0001,27,2.41,0.0,65.07,0
2025-11-23,S01,P0001,19,2.41,0.0,45.79,0
2025-11-24,S01,P0001,14,2.41,0.0,33.74,0
2025-11-25,S01,P0001,19,2.41,0.0,45.79,0
2025-11-26,S01,P0001,27,2.41,0.0,65.07,1
2025-11-27,S01,P0001,21,2.41,0.0,50.61,0
2025-11-28,S01,P0001,14,2.41,0.0,33.74,0
2025-11-29,S01,P0001,24,2.41,0.0,57.84,0
2025-11-30,S01,P0001,19,2.41,0.0,45.79,0
2025-12-01,S01,P0001,21,2.41,0.0,50.61,0
2025-12-02,S01,P0001,24,2.41,0.0,57.84,0
2025-12-03,S01,P0001,20,2.41,0.0,48.2,0
2025-12-04,S01,P0001,18,2.41,0.0,43.38,0
2025-12-05,S01,P0001,15,2.41,0.0,36.15,0
2025-12-06,S01,P0001,22,2.41,0.0,53.02,0
2025-12-07,S01,P0001,26,2.41,0.0,62.66,0
2025-12-08,S01,P0001,23,2.41,0.0,55.43,0
2025-12-09,S01,P0001,16,2.41,0.0,38.56,0
2025-12-10,S01,P0001,25,2.41,0.0,60.25,0
2025-12-11,S01,P0001,22,2.41,0.0,53.02,0
2025-12-12,S01,P0001,13,2.41,0.0,31.33,0
2025-12-13,S01,P0001,30,2.41,0.0,72.3,0
2025-12-14,S01,P0001,27,2.41,0.0,65.07,0
2025-12-15,S01,P0001,16,2.41,0.0,38.56,0
2025-12-16,S01,P0001,16,2.41,0.0,38.56,0
2025-12-17,S01,P0001,19,2.41,0.0,45.79,0
2025-12-18,S01,P0001,25,2.41,0.0,60.25,0
2025-12-19,S01,P0001,17,2.41,0.0,40.97,0
2025-12-20,S01,P0001,26,2.41,0.0,62.66,0
2025-12-21,S01,P0001,27,2.41,0.0,65.07,0
2025-12-22,S01,P0001,21,2.41,0.0,50.61,0
2025-12-23,S01,P0001,25,2.41,0.0,60.25,0
2025-12-24,S01,P0001,27,2.41,0.0,65.07,0
2025-12-25,S01,P0001,20,2.41,0.0,48.2,0
2025-12-26,S01,P0001,18,2.41,0.0,43.38,0
2025-12-27,S01,P0001,27,2.41,0.0,65.07,0
2025-12-28,S01,P0001,19,2.41,0.0,45.79,0
2025-12-29,S01,P0001,16,2.41,0.0,38.56,0
2025-12-30,S01,P0001,15,2.41,0.0,36.15,0
2025-12-31,S01,P0001,18,2.41,0.0,43.38,0
2025-01-01,S01,P0002,3,0.92,0.0,2.76,0
2025-01-02,S01,P0002,9,0.92,0.0,8.28,1
2025-01-03,S01,P0002,4,0.92,0.0,3.68,0
2025-01-04,S01,P0002,9,0.92,0.0,8.28,0
2025-01-05,S01,P0002,6,0.92,0.0,5.52,0
2025-01-06,S01,P0002,5,0.92,0.0,4.6,0
2025-01-07,S01,P0002,10,0.92,0.0,9.2,1
2025-01-08,S01,P0002,5,0.92,0.0,4.6,0
2025-01-09,S01,P0002,12,0.92,0.0,11.04,1
2025-01-10,S01,P0002,7,0.92,0.0,6.44,0
2025-01-11,S01,P0002,11,0.92,0.0,10.12,1
2025-01-12,S01,P0002,6,0.92,0.0,5.52,0
2025-01-13,S01,P0002,6,0.92,0.0,5.52,0
2025-01-14,S01,P0002,9,0.92,0.0,8.28,1
2025-01-15,S01,P0002,9,0.92,0.0,8.28,1
2025-01-16,S01,P0002,4,0.92,0.0,3.68,0
2025-01-17,S01,P0002,5,0.92,0.0,4.6,0
2025-01-18,S01,P0002,12,0.92,0.0,11.04,1
2025-01-19,S01,P0002,7,0.92,0.0,6.44,0
2025-01-20,S01,P0002,9,0.92,0.0,8.28,1
2025-01-21,S01,P0002,6,0.92,0.0,5.52,0
2025-01-22,S01,P0002,9,0.92,0.0,8.28,1
2025-01-23,S01,P0002,6,0.92,0.0,5.52,0
2025-01-24,S01,P0002,9,0.92,0.0,8.28,1
2025-01-25,S01,P0002,15,0.92,0.0,13.8,1
2025-01-26,S01,P0002,8,0.92,0.0,7.36,0
2025-01-27,S01,P0002,8,0.92,0.0,7.36,0
2025-01-28,S01,P0002,9,0.92,0.0,8.28,1
2025-01-29,S01,P0002,6,0.92,0.0,5.52,0
2025-01-30,S01,P0002,7,0.92,0.0,6.44,0
2025-01-31,S01,P0002,9,0.92,0.0,8.28,0
2025-02-01,S01,P0002,8,0.92,0.0,7.36,0
2025-02-02,S01,P0002,11,0.92,0.0,10.12,0
2025-02-03,S01,P0002,12,0.92,0.0,11.04,1
2025-02-04,S01,P0002,6,0.92,0.0,5.52,0
2025-02-05,S01,P0002,6,0.92,0.0,5.52,0
2025-02-06,S01,P0002,4,0.92,0.0,3.68,0
2025-02-07,S01,P0002,7,0.92,0.0,6.44,0
2025-02-08,S01,P0002,9,0.92,0.0,8.28,0
2025-02-09,S01,P0002,5,0.92,0.0,4.6,0
2025-02-10,S01,P0002,6,0.92,0.0,5.52,0
2025-02-11,S01,P0002,5,0.92,0.0,4.6,0
2025-02-12,S01,P0002,12,0.92,0.0,11.04,1
2025-02-13,S01,P0002,4,0.92,0.0,3.68,0
2025-02-14,S01,P0002,8,0.92,0.0,7.36,0
2025-02-15,S01,P0002,9,0.92,0.0,8.28,0
2025-02-16,S01,P0002,9,0.92,0.0,8.28,0
2025-02-17,S01,P0002,12,0.92,0.0,11.04,1
2025-02-18,S01,P0002,8,0.92,0.0,7.36,0
2025-02-19,S01,P0002,9,0.92,0.0,8.28,0
2025-02-20,S01,P0002,8,0.92,0.0,7.36,0
2025-02-21,S01,P0002,6,0.92,0.0,5.52,0
2025-02-22,S01,P0002,7,0.92,0.0,6.44,0
2025-02-23,S01,P0002,7,0.92,0.0,6.44,0
2025-02-24,S01,P0002,6,0.92,0.0,5.52,0
2025-02-25,S01,P0002,5,0.92,0.0,4.6,0
2025-02-26,S01,P0002,8,0.92,0.0,7.36,0
2025-02-27,S01,P0002,9,0.92,0.0,8.28,0
2025-02-28,S01,P0002,12,0.92,0.0,11.04,1
2025-03-01,S01,P0002,11,0.92,0.0,10.12,0
2025-03-02,S01,P0002,12,0.92,0.0,11.04,1
2025-03-03,S01,P0002,7,0.92,0.0,6.44,0
2025-03-04,S01,P0002,8,0.92,0.0,7.36,0
2025-03-05,S01,P0002,5,0.92,0.0,4.6,0
2025-03-06,S01,P0002,7,0.92,0.0,6.44,0
2025-03-07,S01,P0002,5,0.92,0.0,4.6,0
2025-03-08,S01,P0002,9,0.92,0.0,8.28,0
2025-03-09,S01,P0002,8,0.92,0.0,7.36,0
2025-03-10,S01,P0002,8,0.92,0.0,7.36,0
2025-03-11,S01,P0002,12,0.92,0.0,11.04,1
2025-03-12,S01,P0002,9,0.92,0.0,8.28,0
2025-03-13,S01,P0002,4,0.92,0.0,3.68,0
2025-03-14,S01,P0002,10,0.92,0.0,9.2,1
2025-03-15,S01,P0002,9,0.92,0.0,8.28,0
2025-03-16,S01,P0002,6,0.92,0.0,5.52,0
2025-03-17,S01,P0002,8,0.92,0.0,7.36,0
2025-03-18,S01,P0002,10,0.92,0.0,9.2,1
2025-03-19,S01,P0002,8,0.92,0.0,7.36,0
2025-03-20,S01,P0002,10,0.92,0.0,9.2,1
2025-03-21,S01,P0002,7,0.92,0.0,6.44,0
2025-03-22,S01,P0002,13,0.92,0.0,11.96,1
2025-03-23,S01,P0002,11,0.92,0.0,10.12,0
2025-03-24,S01,P0002,12,0.92,0.0,11.04,1
2025-03-25,S01,P0002,4,0.92,0.0,3.68,0
2025-03-26,S01,P0002,8,0.92,0.0,7.36,0
2025-03-27,S01,P0002,6,0.92,0.0,5.52,0
2025-03-28,S01,P0002,6,0.92,0.0,5.52,0
2025-03-29,S01,P0002,5,0.92,0.0,4.6,0
2025-03-30,S01,P0002,12,0.92,0.0,11.04,1
2025-03-31,S01,P0002,6,0.92,0.0,5.52,0
2025-04-01,S01,P0002,4,0.92,0.0,3.68,0
2025-04-02,S01,P0002,6,0.92,0.0,5.52,0
2025-04-03,S01,P0002,6,0.92,0.0,5.52,0
2025-04-04,S01,P0002,12,0.92,0.0,11.04,1
2025-04-05,S01,P0002,10,0.92,0.0,9.2,0
2025-04-06,S01,P0002,6,0.92,0.0,5.52,0
2025-04-07,S01,P0002,3,0.92,0.0,2.76,0
2025-04-08,S01,P0002,8,0.92,0.0,7.36,0
