batch_id,product_id,store_id,batch_number,received_date,manufacturing_date,expiry_date,initial_quantity,remaining_quantity,unit_cost,status
BATCH-000062,P0031,S01,P0031-S01-HIST,2025-01-01,2024-12-28,2025-02-11,184,0,15.32,depleted
BATCH-000063,P0032,S01,P0032-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,369,369,1.58,active
BATCH-000064,P0032,S01,P0032-S01-HIST,2025-01-01,2024-12-28,2025-02-11,327,0,1.58,depleted
BATCH-000065,P0033,S01,P0033-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,238,238,2.34,active
BATCH-000066,P0033,S01,P0033-S01-HIST,2025-01-01,2024-12-28,2025-02-11,243,0,2.34,depleted
BATCH-000067,P0034,S01,P0034-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,399,399,9.43,active
BATCH-000068,P0034,S01,P0034-S01-HIST,2025-01-01,2024-12-29,2025-01-28,291,0,9.43,depleted
BATCH-000069,P0035,S01,P0035-S01-CURRENT,2025-12-31,2025-12-24,2026-06-22,263,263,22.16,active
BATCH-000070,P0035,S01,P0035-S01-HIST,2025-01-01,2024-12-25,2025-06-23,362,0,22.16,depleted
BATCH-000071,P0036,S01,P0036-S01-CURRENT,2025-12-31,2025-12-24,2026-03-24,119,119,18.55,active
BATCH-000072,P0036,S01,P0036-S01-HIST,2025-01-01,2024-12-25,2025-03-25,102,0,18.55,depleted
BATCH-000073,P0037,S01,P0037-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,91,91,5.39,active
BATCH-000074,P0037,S01,P0037-S01-HIST,2025-01-01,2024-12-26,2025-02-24,84,0,5.39,depleted
BATCH-000075,P0038,S01,P0038-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,189,189,7.33,active
BATCH-000076,P0038,S01,P0038-S01-HIST,2025-01-01,2024-12-26,2025-02-24,239,0,7.33,depleted
BATCH-000077,P0039,S01,P0039-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,55,55,3.33,active
BATCH-000078,P0039,S01,P0039-S01-HIST,2025-01-01,2024-12-28,2025-02-11,55,0,3.33,depleted
BATCH-000079,P0040,S01,P0040-S01-CURRENT,2025-12-31,2025-12-24,2026-03-24,62,62,15.35,active
BATCH-000080,P0040,S01,P0040-S01-HIST,2025-01-01,2024-12-25,2025-03-25,28,0,15.35,depleted
BATCH-000081,P0041,S01,P0041-S01-CURRENT,2025-12-31,2025-12-24,2026-12-24,58,58,18.13,active
BATCH-000082,P0041,S01,P0041-S01-HIST,2025-01-01,2024-12-25,2025-12-25,131,0,18.13,depleted
BATCH-000083,P0042,S01,P0042-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,179,179,21.28,active
BATCH-000084,P0042,S01,P0042-S01-HIST,2025-01-01,2024-12-26,2025-02-24,106,0,21.28,depleted
BATCH-000085,P0043,S01,P0043-S01-CURRENT,2025-12-31,2025-12-24,2026-03-24,195,195,3.62,active
BATCH-000086,P0043,S01,P0043-S01-HIST,2025-01-01,2024-12-25,2025-03-25,143,0,3.62,depleted
BATCH-000087,P0044,S01,P0044-S01-CURRENT,2025-12-31,2025-12-24,2026-06-22,52,52,5.65,active
BATCH-000088,P0044,S01,P0044-S01-HIST,2025-01-01,2024-12-25,2025-06-23,214,0,5.65,depleted
BATCH-000089,P0045,S01,P0045-S01-CURRENT,2025-12-31,2025-12-24,2026-06-22,157,157,4.66,active
BATCH-000090,P0045,S01,P0045-S01-HIST,2025-01-01,2024-12-25,2025-06-23,331,0,4.66,depleted
BATCH-000091,P0046,S01,P0046-S01-CURRENT,2025-12-31,2025-12-24,2026-03-24,197,197,4.11,active
BATCH-000092,P0046,S01,P0046-S01-HIST,2025-01-01,2024-12-25,2025-03-25,204,0,4.11,depleted
BATCH-000093,P0047,S01,P0047-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,44,44,6.48,active
BATCH-000094,P0047,S01,P0047-S01-HIST,2025-01-01,2024-12-29,2025-01-28,104,0,6.48,depleted
BATCH-000095,P0048,S01,P0048-S01-CURRENT,2025-12-31,2025-12-24,2026-03-24,123,123,6.61,active
BATCH-000096,P0048,S01,P0048-S01-HIST,2025-01-01,2024-12-25,2025-03-25,167,0,6.61,depleted
BATCH-000097,P0049,S01,P0049-S01-CURRENT,2025-12-31,2025-12-24,2026-03-24,71,71,10.96,active
BATCH-000098,P0049,S01,P0049-S01-HIST,2025-01-01,2024-12-25,2025-03-25,220,0,10.96,depleted
BATCH-000099,P0050,S01,P0050-S01-CURRENT,2025-12-31,2025-12-24,2026-12-24,40,40,6.36,active
BATCH-000100,P0050,S01,P0050-S01-HIST,2025-01-01,2024-12-25,2025-12-25,125,0,6.36,depleted
BATCH-000101,P0051,S01,P0051-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,105,105,4.2,active
BATCH-000102,P0051,S01,P0051-S01-HIST,2025-01-01,2024-12-28,2025-02-11,201,0,4.2,depleted
BATCH-000103,P0052,S01,P0052-S01-CURRENT,2025-12-31,2025-12-24,2026-03-24,138,138,2.03,active
BATCH-000104,P0052,S01,P0052-S01-HIST,2025-01-01,2024-12-25,2025-03-25,171,0,2.03,depleted
BATCH-000105,P0053,S01,P0053-S01-CURRENT,2025-12-31,2025-12-24,2026-03-24,136,136,21.41,active
BATCH-000106,P0053,S01,P0053-S01-HIST,2025-01-01,2024-12-25,2025-03-25,72,0,21.41,depleted
BATCH-000107,P0054,S01,P0054-S01-CURRENT,2025-12-31,2025-12-24,2026-03-24,102,102,8.74,active
BATCH-000108,P0054,S01,P0054-S01-HIST,2025-01-01,2024-12-25,2025-03-25,70,0,8.74,depleted
BATCH-000109,P0055,S01,P0055-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,109,109,11.0,active
BATCH-000110,P0055,S01,P0055-S01-HIST,2025-01-01,2024-12-28,2025-02-11,104,0,11.0,depleted
BATCH-000111,P0056,S01,P0056-S01-CURRENT,2025-12-31,2025-12-24,2026-03-24,84,84,19.15,active
BATCH-000112,P0056,S01,P0056-S01-HIST,2025-01-01,2024-12-25,2025-03-25,141,0,19.15,depleted
BATCH-000113,P0057,S01,P0057-S01-CURRENT,2025-12-31,2025-12-24,2026-12-24,140,140,16.43,active
BATCH-000114,P0057,S01,P0057-S01-HIST,2025-01-01,2024-12-25,2025-12-25,116,0,16.43,depleted
BATCH-000115,P0058,S01,P0058-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,133,133,12.1,active
BATCH-000116,P0058,S01,P0058-S01-HIST,2025-01-01,2024-12-28,2025-02-11,73,0,12.1,depleted
BATCH-000117,P0059,S01,P0059-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,262,262,18.1,active
BATCH-000118,P0059,S01,P0059-S01-HIST,2025-01-01,2024-12-28,2025-02-11,234,0,18.1,depleted
BATCH-000119,P0060,S01,P0060-S01-CURRENT,2025-12-31,2025-12-24,2026-12-24,270,270,5.36,active
BATCH-000120,P0060,S01,P0060-S01-HIST,2025-01-01,2024-12-25,2025-12-25,315,0,5.36,depleted
BATCH-000121,P0061,S01,P0061-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,403,403,13.55,active
BATCH-000122,P0061,S01,P0061-S01-HIST,2025-01-01,2024-12-29,2025-01-28,376,0,13.55,depleted
BATCH-000123,P0062,S01,P0062-S01-CURRENT,2025-12-31,2025-12-24,2026-12-24,44,44,16.07,active
BATCH-000124,P0062,S01,P0062-S01-HIST,2025-01-01,2024-12-25,2025-12-25,73,0,16.07,depleted
BATCH-000125,P0063,S01,P0063-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,96,96,20.73,active
BATCH-000126,P0063,S01,P0063-S01-HIST,2025-01-01,2024-12-26,2025-02-24,153,0,20.73,depleted
BATCH-000127,P0064,S01,P0064-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,231,231,1.2,active
BATCH-000128,P0064,S01,P0064-S01-HIST,2025-01-01,2024-12-28,2025-02-11,181,0,1.2,depleted
BATCH-000129,P0065,S01,P0065-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,167,167,0.75,active
BATCH-000130,P0065,S01,P0065-S01-HIST,2025-01-01,2024-12-29,2025-01-28,109,0,0.75,depleted
BATCH-000131,P0066,S01,P0066-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,138,138,19.93,active
BATCH-000132,P0066,S01,P0066-S01-HIST,2025-01-01,2024-12-28,2025-02-11,108,0,19.93,depleted
BATCH-000133,P0067,S01,P0067-S01-CURRENT,2025-12-31,2025-12-24,2026-12-24,258,258,13.51,active
BATCH-000134,P0067,S01,P0067-S01-HIST,2025-01-01,2024-12-25,2025-12-25,312,0,13.51,depleted
BATCH-000135,P0068,S01,P0068-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,139,139,3.46,active
BATCH-000136,P0068,S01,P0068-S01-HIST,2025-01-01,2024-12-29,2025-01-28,125,0,3.46,depleted
BATCH-000137,P0069,S01,P0069-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,161,161,7.76,active
BATCH-000138,P0069,S01,P0069-S01-HIST,2025-01-01,2024-12-26,2025-02-24,145,0,7.76,depleted
BATCH-000139,P0070,S01,P0070-S01-CURRENT,2025-12-31,2025-12-24,2026-12-24,307,307,7.66,active
BATCH-000140,P0070,S01,P0070-S01-HIST,2025-01-01,2024-12-25,2025-12-25,299,0,7.66,depleted
BATCH-000141,P0071,S01,P0071-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,71,71,11.29,active
BATCH-000142,P0071,S01,P0071-S01-HIST,2025-01-01,2024-12-29,2025-01-28,83,0,11.29,depleted
BATCH-000143,P0072,S01,P0072-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,143,143,15.92,active
BATCH-000144,P0072,S01,P0072-S01-HIST,2025-01-01,2024-12-28,2025-02-11,73,0,15.92,depleted
BATCH-000145,P0073,S01,P0073-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,51,51,9.82,active
BATCH-000146,P0073,S01,P0073-S01-HIST,2025-01-01,2024-12-26,2025-02-24,233,0,9.82,depleted
BATCH-000147,P0074,S01,P0074-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,243,243,5.67,active
BATCH-000148,P0074,S01,P0074-S01-HIST,2025-01-01,2024-12-28,2025-02-11,151,0,5.67,depleted
BATCH-000149,P0075,S01,P0075-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,324,324,17.39,active
BATCH-000150,P0075,S01,P0075-S01-HIST,2025-01-01,2024-12-29,2025-01-28,325,0,17.39,depleted
BATCH-000151,P0076,S01,P0076-S01-CURRENT,2025-12-31,2025-12-24,2026-12-24,78,78,6.22,active
BATCH-000152,P0076,S01,P0076-S01-HIST,2025-01-01,2024-12-25,2025-12-25,45,0,6.22,depleted
BATCH-000153,P0077,S01,P0077-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,74,74,2.25,active
BATCH-000154,P0077,S01,P0077-S01-HIST,2025-01-01,2024-12-26,2025-02-24,84,0,2.25,depleted
BATCH-000155,P0078,S01,P0078-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,244,244,12.76,active
BATCH-000156,P0078,S01,P0078-S01-HIST,2025-01-01,2024-12-29,2025-01-28,166,0,12.76,depleted
BATCH-000157,P0079,S01,P0079-S01-CURRENT,2025-12-31,2025-12-24,2026-06-22,251,251,6.11,active
BATCH-000158,P0079,S01,P0079-S01-HIST,2025-01-01,2024-12-25,2025-06-23,314,0,6.11,depleted
BATCH-000159,P0080,S01,P0080-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,144,144,13.21,active
BATCH-000160,P0080,S01,P0080-S01-HIST,2025-01-01,2024-12-26,2025-02-24,174,0,13.21,depleted
BATCH-000161,P0081,S01,P0081-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,101,101,8.67,active
BATCH-000162,P0081,S01,P0081-S01-HIST,2025-01-01,2024-12-28,2025-02-11,303,0,8.67,depleted
BATCH-000163,P0082,S01,P0082-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,146,146,2.66,active
BATCH-000164,P0082,S01,P0082-S01-HIST,2025-01-01,2024-12-29,2025-01-28,260,0,2.66,depleted
BATCH-000165,P0083,S01,P0083-S01-CURRENT,2025-12-31,2025-12-24,2026-03-24,39,39,5.1,active
BATCH-000166,P0083,S01,P0083-S01-HIST,2025-01-01,2024-12-25,2025-03-25,72,0,5.1,depleted
BATCH-000167,P0084,S01,P0084-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,85,85,22.08,active
BATCH-000168,P0084,S01,P0084-S01-HIST,2025-01-01,2024-12-29,2025-01-28,60,0,22.08,depleted
BATCH-000169,P0085,S01,P0085-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,39,39,6.01,active
BATCH-000170,P0085,S01,P0085-S01-HIST,2025-01-01,2024-12-29,2025-01-28,144,0,6.01,depleted
BATCH-000171,P0086,S01,P0086-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,62,62,20.95,active
BATCH-000172,P0086,S01,P0086-S01-HIST,2025-01-01,2024-12-28,2025-02-11,57,0,20.95,depleted
BATCH-000173,P0087,S01,P0087-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,364,364,22.04,active
BATCH-000174,P0087,S01,P0087-S01-HIST,2025-01-01,2024-12-26,2025-02-24,180,0,22.04,depleted
BATCH-000175,P0088,S01,P0088-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,112,112,14.71,active
BATCH-000176,P0088,S01,P0088-S01-HIST,2025-01-01,2024-12-28,2025-02-11,104,0,14.71,depleted
BATCH-000177,P0089,S01,P0089-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,246,246,11.66,active
BATCH-000178,P0089,S01,P0089-S01-HIST,2025-01-01,2024-12-28,2025-02-11,128,0,11.66,depleted
BATCH-000179,P0090,S01,P0090-S01-CURRENT,2025-12-31,2025-12-24,2026-03-24,326,326,12.09,active
BATCH-000180,P0090,S01,P0090-S01-HIST,2025-01-01,2024-12-25,2025-03-25,309,0,12.09,depleted
BATCH-000181,P0091,S01,P0091-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,91,91,24.15,active
BATCH-000182,P0091,S01,P0091-S01-HIST,2025-01-01,2024-12-29,2025-01-28,250,0,24.15,depleted
BATCH-000183,P0092,S01,P0092-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,357,357,24.26,active
BATCH-000184,P0092,S01,P0092-S01-HIST,2025-01-01,2024-12-26,2025-02-24,302,0,24.26,depleted
BATCH-000185,P0093,S01,P0093-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,45,45,21.55,active
BATCH-000186,P0093,S01,P0093-S01-HIST,2025-01-01,2024-12-26,2025-02-24,39,0,21.55,depleted
BATCH-000187,P0094,S01,P0094-S01-CURRENT,2025-12-31,2025-12-24,2026-12-24,77,77,2.71,active
BATCH-000188,P0094,S01,P0094-S01-HIST,2025-01-01,2024-12-25,2025-12-25,70,0,2.71,depleted
BATCH-000189,P0095,S01,P0095-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,159,159,7.69,active
BATCH-000190,P0095,S01,P0095-S01-HIST,2025-01-01,2024-12-28,2025-02-11,154,0,7.69,depleted
BATCH-000191,P0096,S01,P0096-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,96,96,21.84,active
BATCH-000192,P0096,S01,P0096-S01-HIST,2025-01-01,2024-12-28,2025-02-11,48,0,21.84,depleted
BATCH-000193,P0097,S01,P0097-S01-CURRENT,2025-12-31,2025-12-24,2026-03-24,121,121,16.84,active
BATCH-000194,P0097,S01,P0097-S01-HIST,2025-01-01,2024-12-25,2025-03-25,186,0,16.84,depleted
BATCH-000195,P0098,S01,P0098-S01-CURRENT,2025-12-31,2025-12-24,2026-12-24,277,277,7.83,active
BATCH-000196,P0098,S01,P0098-S01-HIST,2025-01-01,2024-12-25,2025-12-25,356,0,7.83,depleted
BATCH-000197,P0099,S01,P0099-S01-CURRENT,2025-12-31,2025-12-24,2026-06-22,51,51,6.31,active
BATCH-000198,P0099,S01,P0099-S01-HIST,2025-01-01,2024-12-25,2025-06-23,129,0,6.31,depleted
BATCH-000199,P0100,S01,P0100-S01-CURRENT,2025-12-31,2025-12-24,2026-12-24,138,138,14.37,active
BATCH-000200,P0100,S01,P0100-S01-HIST,2025-01-01,2024-12-25,2025-12-25,284,0,14.37,depleted
BATCH-000201,P0101,S01,P0101-S01-CURRENT,2025-12-31,2025-12-24,2026-06-23,46,46,79.05,active
BATCH-000202,P0101,S01,P0101-S01-HIST,2025-01-01,2024-12-25,2025-06-24,91,0,79.05,depleted
BATCH-000203,P0102,S01,P0102-S01-CURRENT,2025-12-31,2025-12-24,2026-06-23,246,246,137.12,active
BATCH-000204,P0102,S01,P0102-S01-HIST,2025-01-01,2024-12-25,2025-06-24,293,0,137.12,depleted
BATCH-000205,P0103,S01,P0103-S01-HIST,2025-01-01,2024-12-31,2025-01-13,49,0,78.53,depleted
BATCH-000206,P0104,S01,P0104-S01-CURRENT,2025-12-31,2025-12-30,2026-01-13,156,156,323.55,near_expiry
BATCH-000207,P0104,S01,P0104-S01-HIST,2025-01-01,2024-12-31,2025-01-14,272,0,323.55,depleted
BATCH-000208,P0105,S01,P0105-S01-CURRENT,2025-12-31,2025-12-30,2026-01-10,67,67,190.0,near_expiry
BATCH-000209,P0105,S01,P0105-S01-HIST,2025-01-01,2024-12-31,2025-01-11,188,0,190.0,depleted
BATCH-000210,P0106,S01,P0106-S01-CURRENT,2025-12-31,2025-12-30,2026-01-07,70,70,111.71,near_expiry
BATCH-000211,P0106,S01,P0106-S01-HIST,2025-01-01,2024-12-31,2025-01-08,194,0,111.71,depleted
BATCH-000212,P0107,S01,P0107-S01-CURRENT,2025-12-31,2025-12-24,2026-12-30,50,50,162.2,active
BATCH-000213,P0107,S01,P0107-S01-HIST,2025-01-01,2024-12-25,2025-12-31,184,0,162.2,depleted
BATCH-000214,P0108,S01,P0108-S01-CURRENT,2025-12-31,2025-12-24,2026-12-26,108,108,140.51,active
BATCH-000215,P0108,S01,P0108-S01-HIST,2025-01-01,2024-12-25,2025-12-27,66,0,140.51,depleted
BATCH-000216,P0109,S01,P0109-S01-CURRENT,2025-12-31,2025-12-24,2027-06-24,189,189,163.65,active
BATCH-000217,P0109,S01,P0109-S01-HIST,2025-01-01,2024-12-25,2026-06-25,64,0,163.65,depleted
BATCH-000218,P0110,S01,P0110-S01-CURRENT,2025-12-31,2025-12-24,2027-12-30,47,47,283.16,active
BATCH-000219,P0110,S01,P0110-S01-HIST,2025-01-01,2024-12-25,2026-12-31,116,0,283.16,depleted
BATCH-000220,P0111,S01,P0111-S01-CURRENT,2025-12-31,2025-12-24,2026-06-25,34,34,332.45,active
BATCH-000221,P0111,S01,P0111-S01-HIST,2025-01-01,2024-12-25,2025-06-26,51,0,332.45,depleted
BATCH-000222,P0112,S01,P0112-S01-CURRENT,2025-12-31,2025-12-24,2026-12-31,64,64,125.38,active
BATCH-000223,P0112,S01,P0112-S01-HIST,2025-01-01,2024-12-25,2026-01-01,42,0,125.38,depleted
BATCH-000224,P0113,S01,P0113-S01-HIST,2025-01-01,2024-12-25,2025-06-25,101,0,106.31,depleted
BATCH-000225,P0114,S01,P0114-S01-CURRENT,2025-12-31,2025-12-24,2026-06-24,15,15,211.41,active
BATCH-000226,P0114,S01,P0114-S01-HIST,2025-01-01,2024-12-25,2025-06-25,182,0,211.41,depleted
BATCH-000227,P0115,S01,P0115-S01-HIST,2025-01-01,2024-12-31,2025-01-13,46,0,201.0,depleted
BATCH-000228,P0116,S01,P0116-S01-HIST,2025-01-01,2024-12-31,2025-01-09,197,0,183.29,depleted
BATCH-000229,P0117,S01,P0117-S01-CURRENT,2025-12-31,2025-12-30,2026-01-11,32,32,210.47,near_expiry
BATCH-000230,P0117,S01,P0117-S01-HIST,2025-01-01,2024-12-31,2025-01-12,81,0,210.47,depleted
BATCH-000231,P0118,S01,P0118-S01-CURRENT,2025-12-31,2025-12-30,2026-01-11,109,109,191.4,near_expiry
BATCH-000232,P0118,S01,P0118-S01-HIST,2025-01-01,2024-12-31,2025-01-12,111,0,191.4,depleted
BATCH-000233,P0119,S01,P0119-S01-CURRENT,2025-12-31,2025-12-24,2026-12-26,105,105,50.84,active
BATCH-000234,P0119,S01,P0119-S01-HIST,2025-01-01,2024-12-25,2025-12-27,170,0,50.84,depleted
