po_item_id,po_id,product_id,quantity,unit_cost,line_total
POI000103,PO00103,P0007,170,12.8,2176.0
POI000104,PO00104,P0007,180,12.8,2304.0
POI000105,PO00105,P0007,172,12.8,2201.6
POI000106,PO00106,P0007,178,12.8,2278.4
POI000107,PO00107,P0007,176,12.8,2252.8
POI000108,PO00108,P0007,179,12.8,2291.2
POI000109,PO00109,P0007,174,12.8,2227.2
POI000110,PO00110,P0007,172,12.8,2201.6
POI000111,PO00111,P0007,182,12.8,2329.6
POI000112,PO00112,P0007,181,12.8,2316.8
POI000113,PO00113,P0007,174,12.8,2227.2
POI000114,PO00114,P0007,173,12.8,2214.4
POI000115,PO00115,P0007,172,12.8,2201.6
POI000116,PO00116,P0007,183,12.8,2342.4
POI000117,PO00117,P0007,172,12.8,2201.6
POI000118,PO00118,P0007,182,12.8,2329.6
POI000119,PO00119,P0007,175,12.8,2240.0
POI000120,PO00120,P0007,169,12.8,2163.2
POI000121,PO00121,P0007,176,12.8,2252.8
POI000122,PO00122,P0007,169,12.8,2163.2
POI000123,PO00123,P0007,182,12.8,2329.6
POI000124,PO00124,P0007,176,12.8,2252.8
POI000125,PO00125,P0007,168,12.8,2150.4
POI000126,PO00126,P0007,171,12.8,2188.8
POI000127,PO00127,P0007,175,12.8,2240.0
POI000128,PO00128,P0007,176,12.8,2252.8
POI000129,PO00129,P0007,180,12.8,2304.0
POI000130,PO00130,P0007,179,12.8,2291.2
POI000131,PO00131,P0007,185,12.8,2368.0
POI000132,PO00132,P0008,375,7.15,2681.25
POI000133,PO00133,P0008,385,7.15,2752.75
POI000134,PO00134,P0008,385,7.15,2752.75
POI000135,PO00135,P0008,367,7.15,2624.05
POI000136,PO00136,P0008,374,7.15,2674.1
POI000137,PO00137,P0008,385,7.15,2752.75
POI000138,PO00138,P0008,372,7.15,2659.8
POI000139,PO00139,P0008,385,7.15,2752.75
POI000140,PO00140,P0008,372,7.15,2659.8
POI000141,PO00141,P0008,368,7.15,2631.2
POI000142,PO00142,P0008,375,7.15,2681.25
POI000143,PO00143,P0008,367,7.15,2624.05
POI000144,PO00144,P0008,374,7.15,2674.1
POI000145,PO00145,P0008,379,7.15,2709.85
POI000146,PO00146,P0008,371,7.15,2652.65
POI000147,PO00147,P0008,369,7.15,2638.35
POI000148,PO00148,P0008,376,7.15,2688.4
POI000149,PO00149,P0008,385,7.15,2752.75
POI000150,PO00150,P0008,385,7.15,2752.75
POI000151,PO00151,P0009,250,3.35,837.5
POI000152,PO00152,P0009,234,3.35,783.9
POI000153,PO00153,P0009,245,3.35,820.75
POI000154,PO00154,P0009,251,3.35,840.85
POI000155,PO00155,P0009,246,3.35,824.1
POI000156,PO00156,P0009,252,3.35,844.2
POI000157,PO00157,P0009,235,3.35,787.25
POI000158,PO00158,P0009,235,3.35,787.25
POI000159,PO00159,P0009,248,3.35,830.8
POI000160,PO00160,P0009,238,3.35,797.3
POI000161,PO00161,P0009,237,3.35,793.95
POI000162,PO00162,P0009,231,3.35,773.85
POI000163,PO00163,P0009,253,3.35,847.55
POI000164,PO00164,P0009,238,3.35,797.3
POI000165,PO00165,P0009,230,3.35,770.5
POI000166,PO00166,P0009,239,3.35,800.65
POI000167,PO00167,P0009,235,3.35,787.25
POI000168,PO00168,P0009,235,3.35,787.25
POI000169,PO00169,P0009,245,3.35,820.75
POI000170,PO00170,P0009,227,3.35,760.45
POI000171,PO00171,P0009,231,3.35,773.85
POI000172,PO00172,P0009,239,3.35,800.65
POI000173,PO00173,P0009,246,3.35,824.1
POI000174,PO00174,P0009,233,3.35,780.55
POI000175,PO00175,P0009,230,3.35,770.5
POI000176,PO00176,P0009,236,3.35,790.6
POI000177,PO00177,P0009,233,3.35,780.55
POI000178,PO00178,P0010,87,11.7,1017.9
POI000179,PO00179,P0010,88,11.7,1029.6
POI000180,PO00180,P0010,86,11.7,1006.2
POI000181,PO00181,P0010,88,11.7,1029.6
POI000182,PO00182,P0010,87,11.7,1017.9
POI000183,PO00183,P0010,90,11.7,1053.0
POI000184,PO00184,P0010,88,11.7,1029.6
POI000185,PO00185,P0010,96,11.7,1123.2
POI000186,PO00186,P0010,86,11.7,1006.2
POI000187,PO00187,P0010,91,11.7,1064.7
POI000188,PO00188,P0010,87,11.7,1017.9
POI000189,PO00189,P0010,86,11.7,1006.2
POI000190,PO00190,P0010,87,11.7,1017.9
POI000191,PO00191,P0010,89,11.7,1041.3
POI000192,PO00192,P0010,87,11.7,1017.9
POI000193,PO00193,P0010,87,11.7,1017.9
POI000194,PO00194,P0011,389,13.84,5383.76
POI000195,PO00195,P0011,382,16.95,6474.9
POI000196,PO00196,P0011,375,13.84,5190.0
POI000197,PO00197,P0011,377,16.95,6390.15
POI000198,PO00198,P0011,383,13.84,5300.72
POI000199,PO00199,P0011,377,16.36,6167.72
POI000200,PO00200,P0011,399,16.36,6527.64
POI000201,PO00201,P0011,382,16.95,6474.9
POI000202,PO00202,P0011,384,13.84,5314.56
POI000203,PO00203,P0011,386,13.84,5342.24
POI000204,PO00204,P0011,374,16.95,6339.3
POI000205,PO00205,P0011,380,16.36,6216.8
POI000206,PO00206,P0011,384,16.36,6282.24
POI000207,PO00207,P0011,376,16.36,6151.36
POI000208,PO00208,P0011,381,16.95,6457.95
POI000209,PO00209,P0011,374,16.36,6118.64
POI000210,PO00210,P0011,377,16.95,6390.15
POI000211,PO00211,P0011,386,16.95,6542.7
POI000212,PO00212,P0011,382,16.36,6249.52
POI000213,PO00213,P0012,409,8.84,3615.56
POI000214,PO00214,P0012,407,8.84,3597.88
POI000215,PO00215,P0012,413,8.84,3650.92
POI000216,PO00216,P0012,409,8.84,3615.56
POI000217,PO00217,P0012,411,8.84,3633.24
POI000218,PO00218,P0012,405,8.84,3580.2
POI000219,PO00219,P0012,403,8.84,3562.52
POI000220,PO00220,P0012,405,8.84,3580.2
POI000221,PO00221,P0012,405,8.84,3580.2
POI000222,PO00222,P0013,410,13.76,5641.6
POI000223,PO00223,P0013,415,13.76,5710.4
POI000224,PO00224,P0013,413,13.76,5682.88
POI000225,PO00225,P0013,415,13.76,5710.4
POI000226,PO00226,P0014,168,3.33,559.44
POI000227,PO00227,P0014,167,2.82,470.94
POI000228,PO00228,P0014,171,3.33,569.43
POI000229,PO00229,P0014,172,2.82,485.04
POI000230,PO00230,P0014,166,3.33,552.78
POI000231,PO00231,P0014,169,2.82,476.58
POI000232,PO00232,P0014,169,3.33,562.77
POI000233,PO00233,P0014,166,3.33,552.78
POI000234,PO00234,P0014,170,2.82,479.4
POI000235,PO00235,P0014,173,3.33,576.09
POI000236,PO00236,P0014,170,3.33,566.1
POI000237,PO00237,P0014,168,3.33,559.44
POI000238,PO00238,P0014,168,2.82,473.76
POI000239,PO00239,P0014,171,2.82,482.22
POI000240,PO00240,P0014,168,2.82,473.76
POI000241,PO00241,P0014,172,3.33,572.76
POI000242,PO00242,P0015,301,21.5,6471.5
POI000243,PO00243,P0015,307,21.3,6539.1
POI000244,PO00244,P0015,313,21.3,6666.9
POI000245,PO00245,P0015,301,21.5,6471.5
POI000246,PO00246,P0015,301,21.3,6411.3
POI000247,PO00247,P0015,305,21.5,6557.5
POI000248,PO00248,P0015,303,21.5,6514.5
POI000249,PO00249,P0015,309,21.5,6643.5
POI000250,PO00250,P0015,303,21.3,6453.9
POI000251,PO00251,P0015,305,21.3,6496.5
POI000252,PO00252,P0015,304,21.5,6536.0
POI000253,PO00253,P0015,300,21.5,6450.0
POI000254,PO00254,P0016,294,4.86,1428.84
POI000255,PO00255,P0016,283,4.86,1375.38
POI000256,PO00256,P0016,284,4.86,1380.24
POI000257,PO00257,P0016,297,4.86,1443.42
POI000258,PO00258,P0016,289,5.12,1479.68
POI000259,PO00259,P0016,283,4.86,1375.38
POI000260,PO00260,P0016,294,5.12,1505.28
POI000261,PO00261,P0016,295,5.12,1510.4
POI000262,PO00262,P0016,288,4.86,1399.68
POI000263,PO00263,P0016,297,5.12,1520.64
POI000264,PO00264,P0016,288,4.86,1399.68
POI000265,PO00265,P0016,291,5.12,1489.92
POI000266,PO00266,P0016,284,4.86,1380.24
POI000267,PO00267,P0016,289,5.12,1479.68
POI000268,PO00268,P0016,286,5.12,1464.32
POI000269,PO00269,P0016,287,5.12,1469.44
POI000270,PO00270,P0016,289,4.86,1404.54
POI000271,PO00271,P0017,85,8.6,731.0
POI000272,PO00272,P0017,85,8.6,731.0
POI000273,PO00273,P0017,86,8.6,739.6
POI000274,PO00274,P0017,86,8.6,739.6
POI000275,PO00275,P0017,86,8.6,739.6
POI000276,PO00276,P0017,83,8.6,713.8
POI000277,PO00277,P0017,86,8.6,739.6
POI000278,PO00278,P0017,85,8.6,731.0
POI000279,PO00279,P0017,86,8.6,739.6
POI000280,PO00280,P0017,86,8.6,739.6
POI000281,PO00281,P0017,86,8.6,739.6
POI000282,PO00282,P0017,86,8.6,739.6
POI000283,PO00283,P0017,86,8.6,739.6
POI000284,PO00284,P0017,86,8.6,739.6
POI000285,PO00285,P0017,86,8.6,739.6
POI000286,PO00286,P0017,86,8.6,739.6
POI000287,PO00287,P0017,84,8.6,722.4
POI000288,PO00288,P0017,82,8.6,705.2
POI000289,PO00289,P0017,86,8.6,739.6
POI000290,PO00290,P0017,86,8.6,739.6
POI000291,PO00291,P0017,86,8.6,739.6
POI000292,PO00292,P0017,83,8.6,713.8
POI000293,PO00293,P0017,86,8.6,739.6
POI000294,PO00294,P0017,86,8.6,739.6
POI000295,PO00295,P0017,86,8.6,739.6
POI000296,PO00296,P0017,86,8.6,739.6
POI000297,PO00297,P0017,86,8.6,739.6
POI000298,PO00298,P0017,82,8.6,705.2
POI000299,PO00299,P0017,86,8.6,739.6
POI000300,PO00300,P0017,83,8.6,713.8
POI000301,PO00301,P0017,86,8.6,739.6
POI000302,PO00302,P0017,86,8.6,739.6
POI000303,PO00303,P0017,86,8.6,739.6
POI000304,PO00304,P0017,86,8.6,739.6
POI000305,PO00305,P0017,86,8.6,739.6
POI000306,PO00306,P0017,83,8.6,713.8
POI000307,PO00307,P0017,86,8.6,739.6
POI000308,PO00308,P0017,86,8.6,739.6
POI000309,PO00309,P0017,86,8.6,739.6
POI000310,PO00310,P0017,86,8.6,739.6
POI000311,PO00311,P0017,86,8.6,739.6
POI000312,PO00312,P0017,86,8.6,739.6
POI000313,PO00313,P0017,82,8.6,705.2
POI000314,PO00314,P0017,86,8.6,739.6
POI000315,PO00315,P0017,86,8.6,739.6
POI000316,PO00316,P0017,86,8.6,739.6
POI000317,PO00317,P0017,86,8.6,739.6
POI000318,PO00318,P0017,81,8.6,696.6
POI000319,PO00319,P0017,86,8.6,739.6
POI000320,PO00320,P0017,84,8.6,722.4
POI000321,PO00321,P0017,85,8.6,731.0
POI000322,PO00322,P0017,82,8.6,705.2
POI000323,PO00323,P0017,86,8.6,739.6
POI000324,PO00324,P0017,86,8.6,739.6
POI000325,PO00325,P0017,82,8.6,705.2
POI000326,PO00326,P0017,83,8.6,713.8
POI000327,PO00327,P0017,86,8.6,739.6
POI000328,PO00328,P0017,86,8.6,739.6
POI000329,PO00329,P0017,86,8.6,739.6
POI000330,PO00330,P0017,86,8.6,739.6
POI000331,PO00331,P0017,86,8.6,739.6
POI000332,PO00332,P0017,86,8.6,739.6
POI000333,PO00333,P0017,86,8.6,739.6
POI000334,PO00334,P0017,86,8.6,739.6
POI000335,PO00335,P0017,86,8.6,739.6
POI000336,PO00336,P0017,86,8.6,739.6
POI000337,PO00337,P0017,86,8.6,739.6
POI000338,PO00338,P0018,314,2.54,797.56
POI000339,PO00339,P0018,311,2.35,730.85
POI000340,PO00340,P0018,311,2.35,730.85
POI000341,PO00341,P0018,308,2.35,723.8
POI000342,PO00342,P0018,308,2.54,782.32
POI000343,PO00343,P0018,316,2.35,742.6
POI000344,PO00344,P0018,312,2.54,792.48
POI000345,PO00345,P0018,311,2.54,789.94
POI000346,PO00346,P0018,308,2.31,711.48
POI000347,PO00347,P0018,314,2.31,725.34
POI000348,PO00348,P0019,249,21.23,5286.27
POI000349,PO00349,P0019,247,21.23,5243.81
POI000350,PO00350,P0019,242,21.23,5137.66
POI000351,PO00351,P0019,248,21.23,5265.04
POI000352,PO00352,P0019,249,21.23,5286.27
POI000353,PO00353,P0019,242,21.23,5137.66
POI000354,PO00354,P0019,240,21.23,5095.2
POI000355,PO00355,P0019,248,21.23,5265.04
POI000356,PO00356,P0019,262,21.23,5562.26
POI000357,PO00357,P0019,242,21.23,5137.66
POI000358,PO00358,P0019,245,21.23,5201.35
POI000359,PO00359,P0019,266,21.23,5647.18
POI000360,PO00360,P0019,240,21.23,5095.2
POI000361,PO00361,P0019,251,21.23,5328.73
POI000362,PO00362,P0019,241,21.23,5116.43
POI000363,PO00363,P0019,249,21.23,5286.27
POI000364,PO00364,P0019,248,21.23,5265.04
POI000365,PO00365,P0019,245,21.23,5201.35
POI000366,PO00366,P0019,260,21.23,5519.8
POI000367,PO00367,P0019,244,21.23,5180.12
POI000368,PO00368,P0019,245,21.23,5201.35
POI000369,PO00369,P0019,251,21.23,5328.73
POI000370,PO00370,P0019,243,21.23,5158.89
POI000371,PO00371,P0019,249,21.23,5286.27
POI000372,PO00372,P0019,243,21.23,5158.89
POI000373,PO00373,P0019,253,21.23,5371.19
POI000374,PO00374,P0019,251,21.23,5328.73
POI000375,PO00375,P0019,242,21.23,5137.66
POI000376,PO00376,P0019,252,21.23,5349.96
POI000377,PO00377,P0019,254,21.23,5392.42
POI000378,PO00378,P0019,241,21.23,5116.43
POI000379,PO00379,P0019,248,21.23,5265.04
POI000380,PO00380,P0019,254,21.23,5392.42
POI000381,PO00381,P0019,255,21.23,5413.65
POI000382,PO00382,P0020,435,16.88,7342.8
POI000383,PO00383,P0020,435,16.88,7342.8
POI000384,PO00384,P0020,436,18.86,8222.96
POI000385,PO00385,P0021,487,11.15,5430.05
POI000386,PO00386,P0021,490,10.98,5380.2
POI000387,PO00387,P0021,491,10.98,5391.18
POI000388,PO00388,P0021,488,11.15,5441.2
POI000389,PO00389,P0021,481,11.15,5363.15
POI000390,PO00390,P0021,482,11.15,5374.3
POI000391,PO00391,P0021,480,11.15,5352.0
POI000392,PO00392,P0021,477,10.98,5237.46
POI000393,PO00393,P0022,245,23.66,5796.7
POI000394,PO00394,P0022,258,23.66,6104.28
POI000395,PO00395,P0022,254,22.4,5689.6
POI000396,PO00396,P0022,255,23.66,6033.3
POI000397,PO00397,P0022,249,24.63,6132.87
POI000398,PO00398,P0022,248,22.4,5555.2
POI000399,PO00399,P0022,258,23.66,6104.28
POI000400,PO00400,P0022,250,22.4,5600.0
POI000401,PO00401,P0022,251,23.66,5938.66
POI000402,PO00402,P0022,250,24.63,6157.5
POI000403,PO00403,P0022,246,24.63,6058.98
POI000404,PO00404,P0022,246,24.63,6058.98
POI000405,PO00405,P0022,247,23.66,5844.02
POI000406,PO00406,P0022,253,23.66,5985.98
POI000407,PO00407,P0022,247,23.66,5844.02
POI000408,PO00408,P0022,248,22.4,5555.2
POI000409,PO00409,P0022,248,22.4,5555.2
POI000410,PO00410,P0022,248,24.63,6108.24
POI000411,PO00411,P0023,176,4.51,793.76
POI000412,PO00412,P0023,170,4.51,766.7
POI000413,PO00413,P0023,182,4.51,820.82
POI000414,PO00414,P0023,162,4.88,790.56
POI000415,PO00415,P0023,178,4.88,868.64
POI000416,PO00416,P0023,186,4.88,907.68
POI000417,PO00417,P0023,168,4.88,819.84
POI000418,PO00418,P0023,174,4.51,784.74
POI000419,PO00419,P0023,178,4.88,868.64
POI000420,PO00420,P0023,170,4.51,766.7
POI000421,PO00421,P0023,166,4.51,748.66
POI000422,PO00422,P0023,171,4.51,771.21
POI000423,PO00423,P0023,165,4.51,744.15
POI000424,PO00424,P0023,183,4.51,825.33
POI000425,PO00425,P0023,172,4.88,839.36
POI000426,PO00426,P0023,170,4.51,766.7
POI000427,PO00427,P0023,176,4.51,793.76
POI000428,PO00428,P0023,170,4.51,766.7
POI000429,PO00429,P0023,176,4.88,858.88
POI000430,PO00430,P0023,183,4.51,825.33
POI000431,PO00431,P0023,164,4.51,739.64
POI000432,PO00432,P0023,173,4.51,780.23
POI000433,PO00433,P0023,165,4.51,744.15
POI000434,PO00434,P0023,162,4.88,790.56
POI000435,PO00435,P0023,179,4.51,807.29
POI000436,PO00436,P0023,167,4.88,814.96
POI000437,PO00437,P0023,167,4.51,753.17
POI000438,PO00438,P0023,167,4.88,814.96
POI000439,PO00439,P0023,164,4.51,739.64
POI000440,PO00440,P0023,180,4.88,878.4
POI000441,PO00441,P0023,174,4.51,784.74
POI000442,PO00442,P0023,168,4.51,757.68
POI000443,PO00443,P0023,165,4.88,805.2
POI000444,PO00444,P0023,168,4.88,819.84
POI000445,PO00445,P0023,168,4.88,819.84
POI000446,PO00446,P0023,177,4.88,863.76
POI000447,PO00447,P0023,170,4.88,829.6
POI000448,PO00448,P0023,181,4.51,816.31
POI000449,PO00449,P0023,176,4.51,793.76
POI000450,PO00450,P0024,341,20.73,7068.93
POI000451,PO00451,P0024,342,20.73,7089.66
POI000452,PO00452,P0024,341,20.73,7068.93
POI000453,PO00453,P0024,346,18.25,6314.5
POI000454,PO00454,P0024,338,18.25,6168.5
POI000455,PO00455,P0024,338,18.25,6168.5
POI000456,PO00456,P0024,340,20.73,7048.2
POI000457,PO00457,P0024,339,20.73,7027.47
POI000458,PO00458,P0024,343,20.73,7110.39
POI000459,PO00459,P0025,310,15.98,4953.8
POI000460,PO00460,P0025,308,15.98,4921.84
POI000461,PO00461,P0025,307,15.98,4905.86
POI000462,PO00462,P0025,310,15.98,4953.8
POI000463,PO00463,P0025,310,15.98,4953.8
POI000464,PO00464,P0025,305,15.98,4873.9
POI000465,PO00465,P0025,310,15.98,4953.8
POI000466,PO00466,P0025,304,15.98,4857.92
POI000467,PO00467,P0025,310,15.98,4953.8
POI000468,PO00468,P0025,308,15.98,4921.84
POI000469,PO00469,P0025,310,15.98,4953.8
POI000470,PO00470,P0025,309,15.98,4937.82
POI000471,PO00471,P0025,310,15.98,4953.8
POI000472,PO00472,P0025,308,15.98,4921.84
POI000473,PO00473,P0025,310,15.98,4953.8
POI000474,PO00474,P0026,314,19.21,6031.94
POI000475,PO00475,P0026,325,23.77,7725.25
POI000476,PO00476,P0026,337,23.77,8010.49
POI000477,PO00477,P0026,326,19.21,6262.46
POI000478,PO00478,P0026,321,23.77,7630.17
POI000479,PO00479,P0026,326,23.77,7749.02
POI000480,PO00480,P0026,317,23.77,7535.09
POI000481,PO00481,P0026,314,23.77,7463.78
POI000482,PO00482,P0026,318,23.77,7558.86
POI000483,PO00483,P0026,333,19.21,6396.93
POI000484,PO00484,P0026,316,19.21,6070.36
POI000485,PO00485,P0026,313,19.21,6012.73
POI000486,PO00486,P0026,318,23.77,7558.86
POI000487,PO00487,P0026,315,23.77,7487.55
POI000488,PO00488,P0026,319,23.77,7582.63
POI000489,PO00489,P0026,313,19.21,6012.73
POI000490,PO00490,P0026,320,19.21,6147.2
POI000491,PO00491,P0026,320,23.77,7606.4
POI000492,PO00492,P0026,314,23.77,7463.78
POI000493,PO00493,P0026,322,19.21,6185.62
POI000494,PO00494,P0026,314,19.21,6031.94
POI000495,PO00495,P0026,319,23.77,7582.63
POI000496,PO00496,P0027,372,14.62,5438.64
POI000497,PO00497,P0027,375,14.62,5482.5
POI000498,PO00498,P0027,373,15.13,5643.49
POI000499,PO00499,P0027,373,15.13,5643.49
POI000500,PO00500,P0027,372,14.38,5349.36
POI000501,PO00501,P0028,280,16.45,4606.0
POI000502,PO00502,P0028,280,16.45,4606.0
POI000503,PO00503,P0028,279,16.45,4589.55
POI000504,PO00504,P0028,279,18.21,5080.59
POI000505,PO00505,P0029,124,24.29,3011.96
POI000506,PO00506,P0029,108,24.29,2623.32
POI000507,PO00507,P0029,112,24.29,2720.48
POI000508,PO00508,P0029,108,24.29,2623.32
POI000509,PO00509,P0029,109,24.29,2647.61
POI000510,PO00510,P0029,124,24.29,3011.96
POI000511,PO00511,P0029,120,24.29,2914.8
POI000512,PO00512,P0029,115,24.29,2793.35
POI000513,PO00513,P0029,114,24.29,2769.06
POI000514,PO00514,P0029,107,24.29,2599.03
POI000515,PO00515,P0029,130,24.29,3157.7
POI000516,PO00516,P0029,108,24.29,2623.32
POI000517,PO00517,P0029,124,24.29,3011.96
POI000518,PO00518,P0029,130,24.29,3157.7
POI000519,PO00519,P0029,116,24.29,2817.64
POI000520,PO00520,P0029,130,24.29,3157.7
POI000521,PO00521,P0029,129,24.29,3133.41
POI000522,PO00522,P0029,113,24.29,2744.77
POI000523,PO00523,P0029,130,24.29,3157.7
POI000524,PO00524,P0029,111,24.29,2696.19
POI000525,PO00525,P0029,127,24.29,3084.83
POI000526,PO00526,P0029,116,24.29,2817.64
POI000527,PO00527,P0029,127,24.29,3084.83
POI000528,PO00528,P0029,118,24.29,2866.22
POI000529,PO00529,P0029,116,24.29,2817.64
POI000530,PO00530,P0029,109,24.29,2647.61
POI000531,PO00531,P0029,125,24.29,3036.25
POI000532,PO00532,P0029,110,24.29,2671.9
POI000533,PO00533,P0029,111,24.29,2696.19
POI000534,PO00534,P0029,107,24.29,2599.03
POI000535,PO00535,P0029,115,24.29,2793.35
POI000536,PO00536,P0029,127,24.29,3084.83
POI000537,PO00537,P0029,118,24.29,2866.22
POI000538,PO00538,P0029,110,24.29,2671.9
POI000539,PO00539,P0029,109,24.29,2647.61
POI000540,PO00540,P0029,109,24.29,2647.61
POI000541,PO00541,P0029,115,24.29,2793.35
POI000542,PO00542,P0029,130,24.29,3157.7
POI000543,PO00543,P0029,107,24.29,2599.03
POI000544,PO00544,P0029,113,24.29,2744.77
POI000545,PO00545,P0029,117,24.29,2841.93
POI000546,PO00546,P0029,118,24.29,2866.22
POI000547,PO00547,P0029,111,24.29,2696.19
POI000548,PO00548,P0029,124,24.29,3011.96
POI000549,PO00549,P0029,117,24.29,2841.93
POI000550,PO00550,P0029,112,24.29,2720.48
POI000551,PO00551,P0029,108,24.29,2623.32
POI000552,PO00552,P0029,117,24.29,2841.93
POI000553,PO00553,P0029,123,24.29,2987.67
POI000554,PO00554,P0029,120,24.29,2914.8
POI000555,PO00555,P0029,112,24.29,2720.48
POI000556,PO00556,P0029,115,24.29,2793.35
POI000557,PO00557,P0029,107,24.29,2599.03
POI000558,PO00558,P0029,116,24.29,2817.64
POI000559,PO00559,P0029,126,24.29,3060.54
POI000560,PO00560,P0029,113,24.29,2744.77
POI000561,PO00561,P0029,119,24.29,2890.51
POI000562,PO00562,P0029,116,24.29,2817.64
POI000563,PO00563,P0029,122,24.29,2963.38
POI000564,PO00564,P0029,121,24.29,2939.09
