po_id,order_date,store_id,supplier_id,status,total_units,total_cost
PO00157,2025-03-27,S01,SUP003,Received,235,787.25
PO00158,2025-04-07,S01,SUP003,Received,235,787.25
PO00159,2025-04-20,S01,SUP003,Received,248,830.8
PO00160,2025-05-01,S01,SUP003,Received,238,797.3
PO00161,2025-05-13,S01,SUP003,Received,237,793.95
PO00162,2025-05-24,S01,SUP003,Received,231,773.85
PO00163,2025-06-07,S01,SUP003,Received,253,847.55
PO00164,2025-06-19,S01,SUP003,Received,238,797.3
PO00165,2025-07-01,S01,SUP003,Received,230,770.5
PO00166,2025-07-16,S01,SUP003,Received,239,800.65
PO00167,2025-07-31,S01,SUP003,Received,235,787.25
PO00168,2025-08-14,S01,SUP003,Received,235,787.25
PO00169,2025-08-30,S01,SUP003,Received,245,820.75
PO00170,2025-09-14,S01,SUP003,Received,227,760.45
PO00171,2025-09-30,S01,SUP003,Received,231,773.85
PO00172,2025-10-16,S01,SUP003,Received,239,800.65
PO00173,2025-11-02,S01,SUP003,Received,246,824.1
PO00174,2025-11-18,S01,SUP003,Received,233,780.55
PO00175,2025-12-02,S01,SUP003,Received,230,770.5
PO00176,2025-12-16,S01,SUP003,Received,236,790.6
PO00177,2025-12-30,S01,SUP003,Received,233,780.55
PO00178,2025-01-09,S01,SUP003,Received,87,1017.9
PO00179,2025-01-31,S01,SUP003,Received,88,1029.6
PO00180,2025-02-24,S01,SUP003,Received,86,1006.2
PO00181,2025-03-17,S01,SUP003,Received,88,1029.6
PO00182,2025-04-02,S01,SUP003,Received,87,1017.9
PO00183,2025-04-26,S01,SUP003,Received,90,1053.0
PO00184,2025-05-18,S01,SUP003,Received,88,1029.6
PO00185,2025-06-08,S01,SUP003,Received,96,1123.2
PO00186,2025-07-01,S01,SUP003,Received,86,1006.2
PO00187,2025-07-25,S01,SUP003,Received,91,1064.7
PO00188,2025-08-18,S01,SUP003,Received,87,1017.9
PO00189,2025-09-07,S01,SUP003,Received,86,1006.2
PO00190,2025-10-07,S01,SUP003,Received,87,1017.9
PO00191,2025-11-11,S01,SUP003,Received,89,1041.3
PO00192,2025-12-06,S01,SUP003,Received,87,1017.9
PO00193,2025-12-27,S01,SUP003,Received,87,1017.9
PO00194,2025-01-11,S01,SUP008,Received,389,5383.76
PO00195,2025-01-29,S01,SUP009,Received,382,6474.9
PO00196,2025-02-15,S01,SUP008,Received,375,5190.0
PO00197,2025-03-02,S01,SUP009,Received,377,6390.15
PO00198,2025-03-18,S01,SUP008,Received,383,5300.72
PO00199,2025-04-03,S01,SUP002,Received,377,6167.72
PO00200,2025-04-20,S01,SUP002,Received,399,6527.64
PO00201,2025-05-08,S01,SUP009,Received,382,6474.9
PO00202,2025-05-24,S01,SUP008,Received,384,5314.56
PO00203,2025-06-12,S01,SUP008,Received,386,5342.24
PO00204,2025-06-29,S01,SUP009,Received,374,6339.3
PO00205,2025-07-18,S01,SUP002,Received,380,6216.8
PO00206,2025-08-07,S01,SUP002,Received,384,6282.24
PO00207,2025-08-29,S01,SUP002,Received,376,6151.36
PO00208,2025-09-21,S01,SUP009,Received,381,6457.95
PO00209,2025-10-14,S01,SUP002,Received,374,6118.64
PO00210,2025-11-05,S01,SUP009,Received,377,6390.15
PO00211,2025-11-26,S01,SUP009,Received,386,6542.7
PO00212,2025-12-17,S01,SUP002,Received,382,6249.52
PO00213,2025-01-16,S01,SUP001,Received,409,3615.56
PO00214,2025-02-23,S01,SUP001,Received,407,3597.88
PO00215,2025-04-03,S01,SUP001,Received,413,3650.92
PO00216,2025-05-08,S01,SUP001,Received,409,3615.56
PO00217,2025-06-14,S01,SUP001,Received,411,3633.24
PO00218,2025-07-27,S01,SUP001,Received,405,3580.2
PO00219,2025-09-15,S01,SUP001,Received,403,3562.52
PO00220,2025-10-31,S01,SUP001,Received,405,3580.2
PO00221,2025-12-14,S01,SUP001,Received,405,3580.2
PO00222,2025-03-07,S01,SUP008,Received,410,5641.6
PO00223,2025-05-24,S01,SUP008,Received,415,5710.4
PO00224,2025-08-22,S01,SUP008,Received,413,5682.88
PO00225,2025-11-30,S01,SUP008,Received,415,5710.4
PO00226,2025-01-15,S01,SUP003,Received,168,559.44
PO00227,2025-02-04,S01,SUP010,Received,167,470.94
PO00228,2025-02-23,S01,SUP003,Received,171,569.43
PO00229,2025-03-16,S01,SUP010,Received,172,485.04
PO00230,2025-04-05,S01,SUP003,Received,166,552.78
PO00231,2025-04-24,S01,SUP010,Received,169,476.58
PO00232,2025-05-13,S01,SUP003,Received,169,562.77
PO00233,2025-06-02,S01,SUP003,Received,166,552.78
PO00234,2025-06-22,S01,SUP010,Received,170,479.4
PO00235,2025-07-13,S01,SUP003,Received,173,576.09
PO00236,2025-08-05,S01,SUP003,Received,170,566.1
PO00237,2025-08-30,S01,SUP003,Received,168,559.44
PO00238,2025-09-20,S01,SUP010,Received,168,473.76
PO00239,2025-10-19,S01,SUP010,Received,171,482.22
PO00240,2025-11-13,S01,SUP010,Received,168,473.76
PO00241,2025-12-11,S01,SUP003,Received,172,572.76
PO00242,2025-01-16,S01,SUP010,Received,301,6471.5
PO00243,2025-02-16,S01,SUP002,Received,307,6539.1
PO00244,2025-03-15,S01,SUP002,Received,313,6666.9
PO00245,2025-04-09,S01,SUP010,Received,301,6471.5
PO00246,2025-05-06,S01,SUP002,Received,301,6411.3
PO00247,2025-06-03,S01,SUP010,Received,305,6557.5
PO00248,2025-07-02,S01,SUP010,Received,303,6514.5
PO00249,2025-08-02,S01,SUP010,Received,309,6643.5
PO00250,2025-09-06,S01,SUP002,Received,303,6453.9
PO00251,2025-10-15,S01,SUP002,Received,305,6496.5
PO00252,2025-11-16,S01,SUP010,Received,304,6536.0
PO00253,2025-12-20,S01,SUP010,Received,300,6450.0
PO00254,2025-01-08,S01,SUP002,Received,294,1428.84
PO00255,2025-01-29,S01,SUP002,Received,283,1375.38
PO00256,2025-02-19,S01,SUP002,Received,284,1380.24
PO00257,2025-03-10,S01,SUP002,Received,297,1443.42
PO00258,2025-03-30,S01,SUP007,Received,289,1479.68
PO00259,2025-04-17,S01,SUP002,Received,283,1375.38
PO00260,2025-05-06,S01,SUP007,Received,294,1505.28
PO00261,2025-05-25,S01,SUP007,Received,295,1510.4
PO00262,2025-06-13,S01,SUP002,Received,288,1399.68
PO00263,2025-07-05,S01,SUP007,Received,297,1520.64
PO00264,2025-07-26,S01,SUP002,Received,288,1399.68
PO00265,2025-08-20,S01,SUP007,Received,291,1489.92
PO00266,2025-09-11,S01,SUP002,Received,284,1380.24
PO00267,2025-10-06,S01,SUP007,Received,289,1479.68
PO00268,2025-11-01,S01,SUP007,Received,286,1464.32
PO00269,2025-11-26,S01,SUP007,Received,287,1469.44
PO00270,2025-12-19,S01,SUP002,Received,289,1404.54
PO00271,2025-01-03,S01,SUP002,Received,85,731.0
PO00272,2025-01-08,S01,SUP002,Received,85,731.0
PO00273,2025-01-14,S01,SUP002,Received,86,739.6
PO00274,2025-01-19,S01,SUP002,Received,86,739.6
PO00275,2025-01-25,S01,SUP002,Received,86,739.6
PO00276,2025-01-30,S01,SUP002,Received,83,713.8
PO00277,2025-02-04,S01,SUP002,Received,86,739.6
PO00278,2025-02-09,S01,SUP002,Received,85,731.0
PO00279,2025-02-15,S01,SUP002,Received,86,739.6
PO00280,2025-02-20,S01,SUP002,Received,86,739.6
PO00281,2025-02-25,S01,SUP002,Received,86,739.6
PO00282,2025-03-02,S01,SUP002,Received,86,739.6
PO00283,2025-03-07,S01,SUP002,Received,86,739.6
PO00284,2025-03-12,S01,SUP002,Received,86,739.6
PO00285,2025-03-17,S01,SUP002,Received,86,739.6
PO00286,2025-03-22,S01,SUP002,Received,86,739.6
PO00287,2025-03-26,S01,SUP002,Received,84,722.4
PO00288,2025-03-30,S01,SUP002,Received,82,705.2
PO00289,2025-04-04,S01,SUP002,Received,86,739.6
PO00290,2025-04-09,S01,SUP002,Received,86,739.6
PO00291,2025-04-14,S01,SUP002,Received,86,739.6
PO00292,2025-04-19,S01,SUP002,Received,83,713.8
PO00293,2025-04-23,S01,SUP002,Received,86,739.6
PO00294,2025-04-28,S01,SUP002,Received,86,739.6
PO00295,2025-05-03,S01,SUP002,Received,86,739.6
PO00296,2025-05-08,S01,SUP002,Received,86,739.6
PO00297,2025-05-13,S01,SUP002,Received,86,739.6
PO00298,2025-05-17,S01,SUP002,Received,82,705.2
PO00299,2025-05-22,S01,SUP002,Received,86,739.6
PO00300,2025-05-26,S01,SUP002,Received,83,713.8
PO00301,2025-06-01,S01,SUP002,Received,86,739.6
PO00302,2025-06-05,S01,SUP002,Received,86,739.6
PO00303,2025-06-09,S01,SUP002,Received,86,739.6
PO00304,2025-06-14,S01,SUP002,Received,86,739.6
PO00305,2025-06-20,S01,SUP002,Received,86,739.6
PO00306,2025-06-25,S01,SUP002,Received,83,713.8
PO00307,2025-06-30,S01,SUP002,Received,86,739.6
PO00308,2025-07-05,S01,SUP002,Received,86,739.6
PO00309,2025-07-11,S01,SUP002,Received,86,739.6
PO00310,2025-07-17,S01,SUP002,Received,86,739.6
PO00311,2025-07-24,S01,SUP002,Received,86,739.6
PO00312,2025-07-31,S01,SUP002,Received,86,739.6
PO00313,2025-08-06,S01,SUP002,Received,82,705.2
PO00314,2025-08-12,S01,SUP002,Received,86,739.6
PO00315,2025-08-17,S01,SUP002,Received,86,739.6
PO00316,2025-08-23,S01,SUP002,Received,86,739.6
PO00317,2025-08-29,S01,SUP002,Received,86,739.6
PO00318,2025-09-04,S01,SUP002,Received,81,696.6
PO00319,2025-09-10,S01,SUP002,Received,86,739.6
PO00320,2025-09-16,S01,SUP002,Received,84,722.4
PO00321,2025-09-22,S01,SUP002,Received,85,731.0
PO00322,2025-09-28,S01,SUP002,Received,82,705.2
PO00323,2025-10-04,S01,SUP002,Received,86,739.6
PO00324,2025-10-10,S01,SUP002,Received,86,739.6
PO00325,2025-10-16,S01,SUP002,Received,82,705.2
PO00326,2025-10-23,S01,SUP002,Received,83,713.8
PO00327,2025-10-29,S01,SUP002,Received,86,739.6
PO00328,2025-11-03,S01,SUP002,Received,86,739.6
PO00329,2025-11-09,S01,SUP002,Received,86,739.6
PO00330,2025-11-15,S01,SUP002,Received,86,739.6
PO00331,2025-11-22,S01,SUP002,Received,86,739.6
PO00332,2025-11-29,S01,SUP002,Received,86,739.6
PO00333,2025-12-04,S01,SUP002,Received,86,739.6
PO00334,2025-12-10,S01,SUP002,Received,86,739.6
PO00335,2025-12-17,S01,SUP002,Received,86,739.6
PO00336,2025-12-22,S01,SUP002,Received,86,739.6
PO00337,2025-12-28,S01,SUP002,Received,86,739.6
PO00338,2025-01-14,S01,SUP009,Received,314,797.56
PO00339,2025-02-19,S01,SUP001,Received,311,730.85
PO00340,2025-03-24,S01,SUP001,Received,311,730.85
PO00341,2025-04-25,S01,SUP001,Received,308,723.8
PO00342,2025-05-28,S01,SUP009,Received,308,782.32
PO00343,2025-07-05,S01,SUP001,Received,316,742.6
PO00344,2025-08-16,S01,SUP009,Received,312,792.48
PO00345,2025-10-02,S01,SUP009,Received,311,789.94
PO00346,2025-11-15,S01,SUP006,Received,308,711.48
PO00347,2025-12-22,S01,SUP006,Received,314,725.34
PO00348,2025-01-05,S01,SUP003,Received,249,5286.27
PO00349,2025-01-15,S01,SUP003,Received,247,5243.81
PO00350,2025-01-25,S01,SUP003,Received,242,5137.66
PO00351,2025-02-04,S01,SUP003,Received,248,5265.04
PO00352,2025-02-15,S01,SUP003,Received,249,5286.27
PO00353,2025-02-25,S01,SUP003,Received,242,5137.66
PO00354,2025-03-06,S01,SUP003,Received,240,5095.2
PO00355,2025-03-15,S01,SUP003,Received,248,5265.04
PO00356,2025-03-26,S01,SUP003,Received,262,5562.26
PO00357,2025-04-04,S01,SUP003,Received,242,5137.66
PO00358,2025-04-13,S01,SUP003,Received,245,5201.35
PO00359,2025-04-23,S01,SUP003,Received,266,5647.18
PO00360,2025-05-03,S01,SUP003,Received,240,5095.2
PO00361,2025-05-12,S01,SUP003,Received,251,5328.73
PO00362,2025-05-22,S01,SUP003,Received,241,5116.43
PO00363,2025-06-01,S01,SUP003,Received,249,5286.27
PO00364,2025-06-12,S01,SUP003,Received,248,5265.04
PO00365,2025-06-22,S01,SUP003,Received,245,5201.35
PO00366,2025-07-04,S01,SUP003,Received,260,5519.8
PO00367,2025-07-15,S01,SUP003,Received,244,5180.12
PO00368,2025-07-26,S01,SUP003,Received,245,5201.35
PO00369,2025-08-07,S01,SUP003,Received,251,5328.73
PO00370,2025-08-18,S01,SUP003,Received,243,5158.89
PO00371,2025-08-29,S01,SUP003,Received,249,5286.27
PO00372,2025-09-11,S01,SUP003,Received,243,5158.89
PO00373,2025-09-23,S01,SUP003,Received,253,5371.19
PO00374,2025-10-05,S01,SUP003,Received,251,5328.73
PO00375,2025-10-17,S01,SUP003,Received,242,5137.66
PO00376,2025-10-30,S01,SUP003,Received,252,5349.96
PO00377,2025-11-12,S01,SUP003,Received,254,5392.42
PO00378,2025-11-23,S01,SUP003,Received,241,5116.43
PO00379,2025-12-04,S01,SUP003,Received,248,5265.04
PO00380,2025-12-15,S01,SUP003,Received,254,5392.42
PO00381,2025-12-27,S01,SUP003,Received,255,5413.65
PO00382,2025-02-16,S01,SUP006,Received,435,7342.8
PO00383,2025-06-17,S01,SUP006,Received,435,7342.8
PO00384,2025-10-25,S01,SUP002,Received,436,8222.96
PO00385,2025-01-26,S01,SUP006,Received,487,5430.05
PO00386,2025-03-09,S01,SUP005,Received,490,5380.2
PO00387,2025-04-15,S01,SUP005,Received,491,5391.18
PO00388,2025-05-25,S01,SUP006,Received,488,5441.2
PO00389,2025-07-07,S01,SUP006,Received,481,5363.15
PO00390,2025-08-22,S01,SUP006,Received,482,5374.3
PO00391,2025-10-10,S01,SUP006,Received,480,5352.0
PO00392,2025-11-28,S01,SUP005,Received,477,5237.46
PO00393,2025-01-07,S01,SUP007,Received,245,5796.7
PO00394,2025-01-26,S01,SUP007,Received,258,6104.28
PO00395,2025-02-16,S01,SUP009,Received,254,5689.6
PO00396,2025-03-07,S01,SUP007,Received,255,6033.3
PO00397,2025-03-26,S01,SUP004,Received,249,6132.87
PO00398,2025-04-14,S01,SUP009,Received,248,5555.2
PO00399,2025-05-05,S01,SUP007,Received,258,6104.28
PO00400,2025-05-23,S01,SUP009,Received,250,5600.0
PO00401,2025-06-12,S01,SUP007,Received,251,5938.66
PO00402,2025-07-04,S01,SUP004,Received,250,6157.5
PO00403,2025-07-24,S01,SUP004,Received,246,6058.98
PO00404,2025-08-13,S01,SUP004,Received,246,6058.98
PO00405,2025-09-04,S01,SUP007,Received,247,5844.02
PO00406,2025-09-27,S01,SUP007,Received,253,5985.98
PO00407,2025-10-23,S01,SUP007,Received,247,5844.02
PO00408,2025-11-15,S01,SUP009,Received,248,5555.2
PO00409,2025-12-08,S01,SUP009,Received,248,5555.2
PO00410,2025-12-28,S01,SUP004,Received,248,6108.24
PO00411,2025-01-07,S01,SUP008,Received,176,793.76
PO00412,2025-01-16,S01,SUP008,Received,170,766.7
PO00413,2025-01-25,S01,SUP008,Received,182,820.82
PO00414,2025-02-02,S01,SUP007,Received,162,790.56
PO00415,2025-02-11,S01,SUP007,Received,178,868.64
PO00416,2025-02-19,S01,SUP007,Received,186,907.68
PO00417,2025-02-26,S01,SUP007,Received,168,819.84
PO00418,2025-03-06,S01,SUP008,Received,174,784.74
PO00419,2025-03-15,S01,SUP007,Received,178,868.64
PO00420,2025-03-23,S01,SUP008,Received,170,766.7
PO00421,2025-03-31,S01,SUP008,Received,166,748.66
PO00422,2025-04-09,S01,SUP008,Received,171,771.21
PO00423,2025-04-17,S01,SUP008,Received,165,744.15
PO00424,2025-04-27,S01,SUP008,Received,183,825.33
PO00425,2025-05-04,S01,SUP007,Received,172,839.36
PO00426,2025-05-13,S01,SUP008,Received,170,766.7
PO00427,2025-05-22,S01,SUP008,Received,176,793.76
PO00428,2025-05-30,S01,SUP008,Received,170,766.7
PO00429,2025-06-08,S01,SUP007,Received,176,858.88
PO00430,2025-06-17,S01,SUP008,Received,183,825.33
PO00431,2025-06-25,S01,SUP008,Received,164,739.64
PO00432,2025-07-06,S01,SUP008,Received,173,780.23
PO00433,2025-07-17,S01,SUP008,Received,165,744.15
PO00434,2025-07-27,S01,SUP007,Received,162,790.56
PO00435,2025-08-07,S01,SUP008,Received,179,807.29
PO00436,2025-08-17,S01,SUP007,Received,167,814.96
PO00437,2025-08-28,S01,SUP008,Received,167,753.17
PO00438,2025-09-07,S01,SUP007,Received,167,814.96
PO00439,2025-09-18,S01,SUP008,Received,164,739.64
PO00440,2025-09-28,S01,SUP007,Received,180,878.4
PO00441,2025-10-10,S01,SUP008,Received,174,784.74
PO00442,2025-10-21,S01,SUP008,Received,168,757.68
PO00443,2025-11-02,S01,SUP007,Received,165,805.2
PO00444,2025-11-14,S01,SUP007,Received,168,819.84
PO00445,2025-11-23,S01,SUP007,Received,168,819.84
PO00446,2025-12-03,S01,SUP007,Received,177,863.76
PO00447,2025-12-12,S01,SUP007,Received,170,829.6
PO00448,2025-12-22,S01,SUP008,Received,181,816.31
PO00449,2025-12-31,S01,SUP008,Received,176,793.76
PO00450,2025-01-18,S01,SUP008,Received,341,7068.93
PO00451,2025-02-25,S01,SUP008,Received,342,7089.66
PO00452,2025-03-31,S01,SUP008,Received,341,7068.93
PO00453,2025-05-09,S01,SUP010,Received,346,6314.5
PO00454,2025-06-20,S01,SUP010,Received,338,6168.5
PO00455,2025-08-05,S01,SUP010,Received,338,6168.5
PO00456,2025-09-26,S01,SUP008,Received,340,7048.2
PO00457,2025-11-16,S01,SUP008,Received,339,7027.47
PO00458,2025-12-29,S01,SUP008,Received,343,7110.39
PO00459,2025-01-10,S01,SUP003,Received,310,4953.8
PO00460,2025-02-04,S01,SUP003,Received,308,4921.84
PO00461,2025-02-28,S01,SUP003,Received,307,4905.86
PO00462,2025-03-23,S01,SUP003,Received,310,4953.8
PO00463,2025-04-13,S01,SUP003,Received,310,4953.8
PO00464,2025-05-05,S01,SUP003,Received,305,4873.9
PO00465,2025-05-24,S01,SUP003,Received,310,4953.8
PO00466,2025-06-15,S01,SUP003,Received,304,4857.92
PO00467,2025-07-09,S01,SUP003,Received,310,4953.8
PO00468,2025-08-05,S01,SUP003,Received,308,4921.84
PO00469,2025-09-04,S01,SUP003,Received,310,4953.8
PO00470,2025-10-02,S01,SUP003,Received,309,4937.82
