date,store_id,product_id,opening_stock,units_sold,received_qty,closing_stock,available_stock,stockout_flag
2025-07-23,S01,P0001,141,22,0,119,0,0
2025-07-24,S01,P0001,119,10,0,109,0,0
2025-07-25,S01,P0001,109,18,0,91,0,0
2025-07-26,S01,P0001,91,25,0,66,0,0
2025-07-27,S01,P0001,66,30,230,266,54,0
2025-07-28,S01,P0001,266,19,0,247,35,0
2025-07-29,S01,P0001,247,25,0,222,10,0
2025-07-30,S01,P0001,222,19,0,203,0,0
2025-07-31,S01,P0001,203,30,0,173,0,0
2025-08-01,S01,P0001,173,16,0,157,0,0
2025-08-02,S01,P0001,157,25,0,132,0,0
2025-08-03,S01,P0001,132,17,0,115,0,0
2025-08-04,S01,P0001,115,20,0,95,0,0
2025-08-05,S01,P0001,95,20,0,75,0,0
2025-08-06,S01,P0001,75,20,0,55,0,0
2025-08-07,S01,P0001,55,25,236,266,54,0
2025-08-08,S01,P0001,266,14,0,252,40,0
2025-08-09,S01,P0001,252,27,0,225,13,0
2025-08-10,S01,P0001,225,26,0,199,0,0
2025-08-11,S01,P0001,199,14,0,185,0,0
2025-08-12,S01,P0001,185,17,0,168,0,0
2025-08-13,S01,P0001,168,18,0,150,0,0
2025-08-14,S01,P0001,150,26,0,124,0,0
2025-08-15,S01,P0001,124,19,0,105,0,0
2025-08-16,S01,P0001,105,21,0,84,0,0
2025-08-17,S01,P0001,84,23,0,61,0,0
2025-08-18,S01,P0001,61,19,224,266,54,0
2025-08-19,S01,P0001,266,21,0,245,33,0
2025-08-20,S01,P0001,245,11,0,234,22,0
2025-08-21,S01,P0001,234,13,0,221,9,0
2025-08-22,S01,P0001,221,13,0,208,0,0
2025-08-23,S01,P0001,208,18,0,190,0,0
2025-08-24,S01,P0001,190,30,0,160,0,0
2025-08-25,S01,P0001,160,21,0,139,0,0
2025-08-26,S01,P0001,139,14,0,125,0,0
2025-08-27,S01,P0001,125,14,0,111,0,0
2025-08-28,S01,P0001,111,14,0,97,0,0
2025-08-29,S01,P0001,97,13,0,84,0,0
2025-08-30,S01,P0001,84,18,0,66,0,0
2025-08-31,S01,P0001,66,22,0,44,0,0
2025-09-01,S01,P0001,44,20,242,266,54,0
2025-09-02,S01,P0001,266,10,0,256,44,0
2025-09-03,S01,P0001,256,14,0,242,30,0
2025-09-04,S01,P0001,242,17,0,225,13,0
2025-09-05,S01,P0001,225,20,0,205,0,0
2025-09-06,S01,P0001,205,22,0,183,0,0
2025-09-07,S01,P0001,183,10,0,173,0,0
2025-09-08,S01,P0001,173,18,0,155,0,0
2025-09-09,S01,P0001,155,12,0,143,0,0
2025-09-10,S01,P0001,143,19,0,124,0,0
2025-09-11,S01,P0001,124,15,0,109,0,0
2025-09-12,S01,P0001,109,14,0,95,0,0
2025-09-13,S01,P0001,95,23,0,72,0,0
2025-09-14,S01,P0001,72,26,0,46,0,0
2025-09-15,S01,P0001,46,11,231,266,54,0
2025-09-16,S01,P0001,266,19,0,247,35,0
2025-09-17,S01,P0001,247,17,0,230,18,0
2025-09-18,S01,P0001,230,15,0,215,3,0
2025-09-19,S01,P0001,215,20,0,195,0,0
2025-09-20,S01,P0001,195,23,0,172,0,0
2025-09-21,S01,P0001,172,15,0,157,0,0
2025-09-22,S01,P0001,157,15,0,142,0,0
2025-09-23,S01,P0001,142,14,0,128,0,0
2025-09-24,S01,P0001,128,11,0,117,0,0
2025-09-25,S01,P0001,117,12,0,105,0,0
2025-09-26,S01,P0001,105,23,0,82,0,0
2025-09-27,S01,P0001,82,17,0,65,0,0
2025-09-28,S01,P0001,65,30,231,266,54,0
2025-09-29,S01,P0001,266,19,0,247,35,0
2025-09-30,S01,P0001,247,22,0,225,13,0
2025-10-01,S01,P0001,225,16,0,209,0,0
2025-10-02,S01,P0001,209,18,0,191,0,0
2025-10-03,S01,P0001,191,12,0,179,0,0
2025-10-04,S01,P0001,179,19,0,160,0,0
2025-10-05,S01,P0001,160,16,0,144,0,0
2025-10-06,S01,P0001,144,19,0,125,0,0
2025-10-07,S01,P0001,125,16,0,109,0,0
2025-10-08,S01,P0001,109,16,0,93,0,0
2025-10-09,S01,P0001,93,15,0,78,0,0
2025-10-10,S01,P0001,78,22,0,56,0,0
2025-10-11,S01,P0001,56,21,231,266,54,0
2025-10-12,S01,P0001,266,20,0,246,34,0
2025-10-13,S01,P0001,246,27,0,219,7,0
2025-10-14,S01,P0001,219,19,0,200,0,0
2025-10-15,S01,P0001,200,13,0,187,0,0
2025-10-16,S01,P0001,187,14,0,173,0,0
2025-10-17,S01,P0001,173,20,0,153,0,0
2025-10-18,S01,P0001,153,20,0,133,0,0
2025-10-19,S01,P0001,133,20,0,113,0,0
2025-10-20,S01,P0001,113,17,0,96,0,0
2025-10-21,S01,P0001,96,18,0,78,0,0
2025-10-22,S01,P0001,78,22,0,56,0,0
2025-10-23,S01,P0001,56,15,225,266,54,0
2025-10-24,S01,P0001,266,17,0,249,37,0
2025-10-25,S01,P0001,249,29,0,220,8,0
2025-10-26,S01,P0001,220,24,0,196,0,0
2025-10-27,S01,P0001,196,13,0,183,0,0
2025-10-28,S01,P0001,183,20,0,163,0,0
2025-10-29,S01,P0001,163,13,0,150,0,0
2025-10-30,S01,P0001,150,15,0,135,0,0
2025-10-31,S01,P0001,135,16,0,119,0,0
2025-11-01,S01,P0001,119,16,0,103,0,0
2025-11-02,S01,P0001,103,27,0,76,0,0
2025-11-03,S01,P0001,76,15,0,61,0,0
2025-11-04,S01,P0001,61,22,227,266,54,0
2025-11-05,S01,P0001,266,21,0,245,33,0
2025-11-06,S01,P0001,245,15,0,230,18,0
2025-11-07,S01,P0001,230,20,0,210,0,0
2025-11-08,S01,P0001,210,22,0,188,0,0
2025-11-09,S01,P0001,188,17,0,171,0,0
2025-11-10,S01,P0001,171,19,0,152,0,0
2025-11-11,S01,P0001,152,27,0,125,0,0
2025-11-12,S01,P0001,125,22,0,103,0,0
2025-11-13,S01,P0001,103,20,0,83,0,0
2025-11-14,S01,P0001,83,18,0,65,0,0
2025-11-15,S01,P0001,65,22,0,43,0,0
2025-11-16,S01,P0001,43,29,252,266,54,0
2025-11-17,S01,P0001,266,20,0,246,34,0
2025-11-18,S01,P0001,246,10,0,236,24,0
2025-11-19,S01,P0001,236,23,0,213,1,0
2025-11-20,S01,P0001,213,17,0,196,0,0
2025-11-21,S01,P0001,196,17,0,179,0,0
2025-11-22,S01,P0001,179,27,0,152,0,0
2025-11-23,S01,P0001,152,19,0,133,0,0
2025-11-24,S01,P0001,133,14,0,119,0,0
2025-11-25,S01,P0001,119,19,0,100,0,0
2025-11-26,S01,P0001,100,27,0,73,0,0
2025-11-27,S01,P0001,73,21,0,52,0,0
2025-11-28,S01,P0001,52,14,228,266,54,0
2025-11-29,S01,P0001,266,24,0,242,30,0
2025-11-30,S01,P0001,242,19,0,223,11,0
2025-12-01,S01,P0001,223,21,0,202,0,0
2025-12-02,S01,P0001,202,24,0,178,0,0
2025-12-03,S01,P0001,178,20,0,158,0,0
2025-12-04,S01,P0001,158,18,0,140,0,0
2025-12-05,S01,P0001,140,15,0,125,0,0
2025-12-06,S01,P0001,125,22,0,103,0,0
2025-12-07,S01,P0001,103,26,0,77,0,0
2025-12-08,S01,P0001,77,23,0,54,0,0
2025-12-09,S01,P0001,54,16,228,266,54,0
2025-12-10,S01,P0001,266,25,0,241,29,0
2025-12-11,S01,P0001,241,22,0,219,7,0
2025-12-12,S01,P0001,219,13,0,206,0,0
2025-12-13,S01,P0001,206,30,0,176,0,0
2025-12-14,S01,P0001,176,27,0,149,0,0
2025-12-15,S01,P0001,149,16,0,133,0,0
2025-12-16,S01,P0001,133,16,0,117,0,0
2025-12-17,S01,P0001,117,19,0,98,0,0
2025-12-18,S01,P0001,98,25,0,73,0,0
2025-12-19,S01,P0001,73,17,0,56,0,0
2025-12-20,S01,P0001,56,26,236,266,54,0
2025-12-21,S01,P0001,266,27,0,239,27,0
2025-12-22,S01,P0001,239,21,0,218,6,0
2025-12-23,S01,P0001,218,25,0,193,0,0
2025-12-24,S01,P0001,193,27,0,166,0,0
2025-12-25,S01,P0001,166,20,0,146,0,0
2025-12-26,S01,P0001,146,18,0,128,0,0
2025-12-27,S01,P0001,128,27,0,101,0,0
2025-12-28,S01,P0001,101,19,0,82,0,0
2025-12-29,S01,P0001,82,16,0,66,0,0
2025-12-30,S01,P0001,66,15,0,51,0,0
2025-12-31,S01,P0001,51,18,233,266,54,0
2025-01-01,S01,P0002,119,3,0,116,0,0
2025-01-02,S01,P0002,116,9,0,107,0,0
2025-01-03,S01,P0002,107,4,0,103,0,0
2025-01-04,S01,P0002,103,9,0,94,0,0
2025-01-05,S01,P0002,94,6,0,88,0,0
2025-01-06,S01,P0002,88,5,0,83,0,0
2025-01-07,S01,P0002,83,10,0,73,0,0
2025-01-08,S01,P0002,73,5,0,68,0,0
2025-01-09,S01,P0002,68,12,0,56,0,0
2025-01-10,S01,P0002,56,7,0,49,0,0
2025-01-11,S01,P0002,49,11,0,38,0,0
2025-01-12,S01,P0002,38,6,0,32,0,0
2025-01-13,S01,P0002,32,6,0,26,0,0
2025-01-14,S01,P0002,26,9,262,279,56,0
2025-01-15,S01,P0002,279,9,0,270,47,0
2025-01-16,S01,P0002,270,4,0,266,43,0
2025-01-17,S01,P0002,266,5,0,261,38,0
2025-01-18,S01,P0002,261,12,0,249,26,0
2025-01-19,S01,P0002,249,7,0,242,19,0
2025-01-20,S01,P0002,242,9,0,233,10,0
2025-01-21,S01,P0002,233,6,0,227,4,0
2025-01-22,S01,P0002,227,9,0,218,0,0
2025-01-23,S01,P0002,218,6,0,212,0,0
2025-01-24,S01,P0002,212,9,0,203,0,0
2025-01-25,S01,P0002,203,15,0,188,0,0
2025-01-26,S01,P0002,188,8,0,180,0,0
2025-01-27,S01,P0002,180,8,0,172,0,0
2025-01-28,S01,P0002,172,9,0,163,0,0
2025-01-29,S01,P0002,163,6,0,157,0,0
2025-01-30,S01,P0002,157,7,0,150,0,0
2025-01-31,S01,P0002,150,9,0,141,0,0
2025-02-01,S01,P0002,141,8,0,133,0,0
2025-02-02,S01,P0002,133,11,0,122,0,0
2025-02-03,S01,P0002,122,12,0,110,0,0
2025-02-04,S01,P0002,110,6,0,104,0,0
2025-02-05,S01,P0002,104,6,0,98,0,0
2025-02-06,S01,P0002,98,4,0,94,0,0
2025-02-07,S01,P0002,94,7,0,87,0,0
2025-02-08,S01,P0002,87,9,0,78,0,0
2025-02-09,S01,P0002,78,5,0,73,0,0
2025-02-10,S01,P0002,73,6,0,67,0,0
2025-02-11,S01,P0002,67,5,0,62,0,0
2025-02-12,S01,P0002,62,12,0,50,0,0
2025-02-13,S01,P0002,50,4,0,46,0,0
2025-02-14,S01,P0002,46,8,0,38,0,0
2025-02-15,S01,P0002,38,9,0,29,0,0
2025-02-16,S01,P0002,29,9,0,20,0,0
2025-02-17,S01,P0002,20,12,271,279,56,0
2025-02-18,S01,P0002,279,8,0,271,48,0
2025-02-19,S01,P0002,271,9,0,262,39,0
2025-02-20,S01,P0002,262,8,0,254,31,0
2025-02-21,S01,P0002,254,6,0,248,25,0
2025-02-22,S01,P0002,248,7,0,241,18,0
2025-02-23,S01,P0002,241,7,0,234,11,0
2025-02-24,S01,P0002,234,6,0,228,5,0
2025-02-25,S01,P0002,228,5,0,223,0,0
2025-02-26,S01,P0002,223,8,0,215,0,0
2025-02-27,S01,P0002,215,9,0,206,0,0
2025-02-28,S01,P0002,206,12,0,194,0,0
2025-03-01,S01,P0002,194,11,0,183,0,0
2025-03-02,S01,P0002,183,12,0,171,0,0
2025-03-03,S01,P0002,171,7,0,164,0,0
2025-03-04,S01,P0002,164,8,0,156,0,0
2025-03-05,S01,P0002,156,5,0,151,0,0
2025-03-06,S01,P0002,151,7,0,144,0,0
2025-03-07,S01,P0002,144,5,0,139,0,0
2025-03-08,S01,P0002,139,9,0,130,0,0
2025-03-09,S01,P0002,130,8,0,122,0,0
2025-03-10,S01,P0002,122,8,0,114,0,0
2025-03-11,S01,P0002,114,12,0,102,0,0
2025-03-12,S01,P0002,102,9,0,93,0,0
2025-03-13,S01,P0002,93,4,0,89,0,0
2025-03-14,S01,P0002,89,10,0,79,0,0
2025-03-15,S01,P0002,79,9,0,70,0,0
2025-03-16,S01,P0002,70,6,0,64,0,0
2025-03-17,S01,P0002,64,8,0,56,0,0
2025-03-18,S01,P0002,56,10,0,46,0,0
2025-03-19,S01,P0002,46,8,0,38,0,0
2025-03-20,S01,P0002,38,10,0,28,0,0
2025-03-21,S01,P0002,28,7,0,21,0,0
2025-03-22,S01,P0002,21,13,271,279,56,0
2025-03-23,S01,P0002,279,11,0,268,45,0
2025-03-24,S01,P0002,268,12,0,256,33,0
2025-03-25,S01,P0002,256,4,0,252,29,0
2025-03-26,S01,P0002,252,8,0,244,21,0
2025-03-27,S01,P0002,244,6,0,238,15,0
2025-03-28,S01,P0002,238,6,0,232,9,0
2025-03-29,S01,P0002,232,5,0,227,4,0
2025-03-30,S01,P0002,227,12,0,215,0,0
2025-03-31,S01,P0002,215,6,0,209,0,0
2025-04-01,S01,P0002,209,4,0,205,0,0
2025-04-02,S01,P0002,205,6,0,199,0,0
2025-04-03,S01,P0002,199,6,0,193,0,0
2025-04-04,S01,P0002,193,12,0,181,0,0
2025-04-05,S01,P0002,181,10,0,171,0,0
2025-04-06,S01,P0002,171,6,0,165,0,0
2025-04-07,S01,P0002,165,3,0,162,0,0
2025-04-08,S01,P0002,162,8,0,154,0,0
2025-04-09,S01,P0002,154,4,0,150,0,0
2025-04-10,S01,P0002,150,7,0,143,0,0
2025-04-11,S01,P0002,143,11,0,132,0,0
2025-04-12,S01,P0002,132,11,0,121,0,0
2025-04-13,S01,P0002,121,14,0,107,0,0
2025-04-14,S01,P0002,107,6,0,101,0,0
2025-04-15,S01,P0002,101,10,0,91,0,0
2025-04-16,S01,P0002,91,7,0,84,0,0
2025-04-17,S01,P0002,84,8,0,76,0,0
2025-04-18,S01,P0002,76,5,0,71,0,0
2025-04-19,S01,P0002,71,7,0,64,0,0
2025-04-20,S01,P0002,64,11,0,53,0,0
2025-04-21,S01,P0002,53,7,0,46,0,0
2025-04-22,S01,P0002,46,10,0,36,0,0
2025-04-23,S01,P0002,36,9,0,27,0,0
2025-04-24,S01,P0002,27,11,263,279,56,0
2025-04-25,S01,P0002,279,6,0,273,50,0
2025-04-26,S01,P0002,273,7,0,266,43,0
2025-04-27,S01,P0002,266,9,0,257,34,0
2025-04-28,S01,P0002,257,9,0,248,25,0
2025-04-29,S01,P0002,248,5,0,243,20,0
2025-04-30,S01,P0002,243,6,0,237,14,0
2025-05-01,S01,P0002,237,7,0,230,7,0
2025-05-02,S01,P0002,230,9,0,221,0,0
2025-05-03,S01,P0002,221,9,0,212,0,0
2025-05-04,S01,P0002,212,9,0,203,0,0
2025-05-05,S01,P0002,203,8,0,195,0,0
2025-05-06,S01,P0002,195,6,0,189,0,0
2025-05-07,S01,P0002,189,7,0,182,0,0
2025-05-08,S01,P0002,182,8,0,174,0,0
2025-05-09,S01,P0002,174,10,0,164,0,0
2025-05-10,S01,P0002,164,15,0,149,0,0
2025-05-11,S01,P0002,149,8,0,141,0,0
2025-05-12,S01,P0002,141,11,0,130,0,0
2025-05-13,S01,P0002,130,4,0,126,0,0
2025-05-14,S01,P0002,126,9,0,117,0,0
2025-05-15,S01,P0002,117,9,0,108,0,0
2025-05-16,S01,P0002,108,7,0,101,0,0
2025-05-17,S01,P0002,101,9,0,92,0,0
2025-05-18,S01,P0002,92,9,0,83,0,0
2025-05-19,S01,P0002,83,12,0,71,0,0
2025-05-20,S01,P0002,71,7,0,64,0,0
2025-05-21,S01,P0002,64,8,0,56,0,0
2025-05-22,S01,P0002,56,9,0,47,0,0
2025-05-23,S01,P0002,47,3,0,44,0,0
2025-05-24,S01,P0002,44,10,0,34,0,0
2025-05-25,S01,P0002,34,7,0,27,0,0
2025-05-26,S01,P0002,27,4,0,23,0,0
2025-05-27,S01,P0002,23,14,270,279,56,0
2025-05-28,S01,P0002,279,7,0,272,49,0
2025-05-29,S01,P0002,272,8,0,264,41,0
2025-05-30,S01,P0002,264,4,0,260,37,0
2025-05-31,S01,P0002,260,6,0,254,31,0
2025-06-01,S01,P0002,254,2,0,252,29,0
2025-06-02,S01,P0002,252,8,0,244,21,0
2025-06-03,S01,P0002,244,8,0,236,13,0
2025-06-04,S01,P0002,236,11,0,225,2,0
2025-06-05,S01,P0002,225,3,0,222,0,0
2025-06-06,S01,P0002,222,6,0,216,0,0
2025-06-07,S01,P0002,216,8,0,208,0,0
2025-06-08,S01,P0002,208,7,0,201,0,0
2025-06-09,S01,P0002,201,4,0,197,0,0
2025-06-10,S01,P0002,197,5,0,192,0,0
2025-06-11,S01,P0002,192,11,0,181,0,0
2025-06-12,S01,P0002,181,12,0,169,0,0
2025-06-13,S01,P0002,169,5,0,164,0,0
2025-06-14,S01,P0002,164,8,0,156,0,0
2025-06-15,S01,P0002,156,6,0,150,0,0
2025-06-16,S01,P0002,150,4,0,146,0,0
2025-06-17,S01,P0002,146,4,0,142,0,0
2025-06-18,S01,P0002,142,11,0,131,0,0
2025-06-19,S01,P0002,131,8,0,123,0,0
