product_id,supplier_id,unit_cost,lead_time_days,moq,supplier_product_reliability
P0116,SUP011,187.34,1,94,0.844
P0117,SUP004,220.48,8,23,0.81
P0117,SUP016,227.83,4,68,0.811
P0118,SUP016,173.88,4,89,0.833
P0118,SUP018,182.33,7,13,0.914
P0119,SUP015,49.43,3,72,0.989
P0119,SUP008,48.52,16,80,0.814
P0120,SUP001,154.22,6,27,0.983
P0120,SUP009,153.14,5,92,0.869
P0121,SUP002,223.86,12,10,0.834
P0121,SUP020,219.25,6,67,0.922
P0122,SUP019,302.12,2,92,0.825
P0122,SUP003,322.11,2,88,0.828
P0123,SUP018,314.6,7,23,0.938
P0123,SUP019,293.96,2,57,0.989
P0124,SUP011,238.48,2,60,0.978
P0124,SUP002,235.41,12,67,0.817
P0125,SUP001,23.36,7,66,0.9
P0125,SUP014,22.03,1,90,0.895
P0126,SUP011,185.94,3,14,0.848
P0126,SUP020,183.85,6,85,0.851
P0127,SUP019,91.72,4,67,0.874
P0127,SUP010,89.47,8,47,0.896
P0128,SUP013,227.19,6,55,0.799
P0128,SUP001,265.61,4,91,0.862
P0129,SUP019,102.89,1,28,0.937
P0129,SUP017,92.12,2,84,0.935
P0130,SUP008,221.55,16,30,0.956
P0130,SUP015,197.53,4,42,0.957
P0131,SUP019,38.7,4,20,0.806
P0131,SUP015,45.28,3,80,0.874
P0132,SUP006,139.02,13,96,0.82
P0132,SUP020,113.28,3,50,0.801
P0133,SUP018,247.16,5,38,0.935
P0133,SUP011,237.87,3,21,0.868
P0134,SUP004,45.85,8,66,0.931
P0134,SUP013,48.82,9,98,0.793
P0135,SUP003,205.05,3,70,0.839
P0135,SUP019,200.28,1,94,0.87
P0136,SUP001,116.24,5,67,0.823
P0136,SUP008,118.6,14,47,0.939
P0137,SUP007,214.59,15,21,0.792
P0137,SUP002,234.84,11,61,0.797
P0138,SUP011,299.6,1,66,0.982
P0138,SUP001,329.59,5,69,0.782
P0139,SUP002,333.48,13,65,0.976
P0139,SUP009,289.93,6,93,0.814
P0140,SUP015,327.77,5,75,0.905
P0140,SUP014,318.53,3,69,0.957
P0141,SUP003,240.56,2,51,0.897
P0141,SUP012,243.19,3,84,0.957
P0142,SUP006,352.2,14,49,0.867
P0142,SUP002,348.53,10,37,0.91
P0143,SUP007,146.0,13,93,0.861
P0143,SUP004,127.88,7,36,0.821
P0144,SUP008,135.85,14,83,0.836
P0144,SUP003,119.58,1,42,0.924
P0145,SUP016,266.25,6,76,0.854
P0145,SUP011,246.33,1,80,0.856
P0146,SUP009,78.73,7,87,0.835
P0146,SUP005,89.46,6,49,0.919
P0147,SUP014,182.13,3,78,0.9
P0147,SUP005,149.2,6,52,0.812
P0148,SUP007,31.45,12,27,0.877
P0148,SUP013,34.86,8,90,0.85
P0149,SUP006,62.0,16,16,0.886
P0149,SUP013,60.32,7,33,0.841
P0150,SUP010,186.79,8,25,0.972
P0150,SUP006,227.53,15,25,0.825
