date,year,month,day,day_of_week,week_of_year,is_weekend,is_payday,quarter
2025-07-01,2025,7,1,1,27,False,True,Q3
2025-07-02,2025,7,2,2,27,False,False,Q3
2025-07-03,2025,7,3,3,27,False,False,Q3
2025-07-04,2025,7,4,4,27,False,False,Q3
2025-07-05,2025,7,5,5,27,True,False,Q3
2025-07-06,2025,7,6,6,27,True,False,Q3
2025-07-07,2025,7,7,0,28,False,False,Q3
2025-07-08,2025,7,8,1,28,False,False,Q3
2025-07-09,2025,7,9,2,28,False,False,Q3
2025-07-10,2025,7,10,3,28,False,False,Q3
2025-07-11,2025,7,11,4,28,False,False,Q3
2025-07-12,2025,7,12,5,28,True,False,Q3
2025-07-13,2025,7,13,6,28,True,False,Q3
2025-07-14,2025,7,14,0,29,False,False,Q3
2025-07-15,2025,7,15,1,29,False,True,Q3
2025-07-16,2025,7,16,2,29,False,False,Q3
2025-07-17,2025,7,17,3,29,False,False,Q3
2025-07-18,2025,7,18,4,29,False,False,Q3
2025-07-19,2025,7,19,5,29,True,False,Q3
2025-07-20,2025,7,20,6,29,True,False,Q3
2025-07-21,2025,7,21,0,30,False,False,Q3
2025-07-22,2025,7,22,1,30,False,False,Q3
2025-07-23,2025,7,23,2,30,False,False,Q3
2025-07-24,2025,7,24,3,30,False,False,Q3
2025-07-25,2025,7,25,4,30,False,False,Q3
2025-07-26,2025,7,26,5,30,True,False,Q3
2025-07-27,2025,7,27,6,30,True,False,Q3
2025-07-28,2025,7,28,0,31,False,False,Q3
2025-07-29,2025,7,29,1,31,False,False,Q3
2025-07-30,2025,7,30,2,31,False,False,Q3
2025-07-31,2025,7,31,3,31,False,False,Q3
2025-08-01,2025,8,1,4,31,False,True,Q3
2025-08-02,2025,8,2,5,31,True,False,Q3
2025-08-03,2025,8,3,6,31,True,False,Q3
2025-08-04,2025,8,4,0,32,False,False,Q3
2025-08-05,2025,8,5,1,32,False,False,Q3
2025-08-06,2025,8,6,2,32,False,False,Q3
2025-08-07,2025,8,7,3,32,False,False,Q3
2025-08-08,2025,8,8,4,32,False,False,Q3
2025-08-09,2025,8,9,5,32,True,False,Q3
2025-08-10,2025,8,10,6,32,True,False,Q3
2025-08-11,2025,8,11,0,33,False,False,Q3
2025-08-12,2025,8,12,1,33,False,False,Q3
2025-08-13,2025,8,13,2,33,False,False,Q3
2025-08-14,2025,8,14,3,33,False,False,Q3
2025-08-15,2025,8,15,4,33,False,True,Q3
2025-08-16,2025,8,16,5,33,True,False,Q3
2025-08-17,2025,8,17,6,33,True,False,Q3
2025-08-18,2025,8,18,0,34,False,False,Q3
2025-08-19,2025,8,19,1,34,False,False,Q3
2025-08-20,2025,8,20,2,34,False,False,Q3
2025-08-21,2025,8,21,3,34,False,False,Q3
2025-08-22,2025,8,22,4,34,False,False,Q3
2025-08-23,2025,8,23,5,34,True,False,Q3
2025-08-24,2025,8,24,6,34,True,False,Q3
2025-08-25,2025,8,25,0,35,False,False,Q3
2025-08-26,2025,8,26,1,35,False,False,Q3
2025-08-27,2025,8,27,2,35,False,False,Q3
2025-08-28,2025,8,28,3,35,False,False,Q3
2025-08-29,2025,8,29,4,35,False,False,Q3
2025-08-30,2025,8,30,5,35,True,False,Q3
2025-08-31,2025,8,31,6,35,True,False,Q3
2025-09-01,2025,9,1,0,36,False,True,Q3
2025-09-02,2025,9,2,1,36,False,False,Q3
2025-09-03,2025,9,3,2,36,False,False,Q3
2025-09-04,2025,9,4,3,36,False,False,Q3
2025-09-05,2025,9,5,4,36,False,False,Q3
2025-09-06,2025,9,6,5,36,True,False,Q3
2025-09-07,2025,9,7,6,36,True,False,Q3
2025-09-08,2025,9,8,0,37,False,False,Q3
2025-09-09,2025,9,9,1,37,False,False,Q3
2025-09-10,2025,9,10,2,37,False,False,Q3
2025-09-11,2025,9,11,3,37,False,False,Q3
2025-09-12,2025,9,12,4,37,False,False,Q3
2025-09-13,2025,9,13,5,37,True,False,Q3
2025-09-14,2025,9,14,6,37,True,False,Q3
2025-09-15,2025,9,15,0,38,False,True,Q3
2025-09-16,2025,9,16,1,38,False,False,Q3
2025-09-17,2025,9,17,2,38,False,False,Q3
2025-09-18,2025,9,18,3,38,False,False,Q3
2025-09-19,2025,9,19,4,38,False,False,Q3
2025-09-20,2025,9,20,5,38,True,False,Q3
2025-09-21,2025,9,21,6,38,True,False,Q3
2025-09-22,2025,9,22,0,39,False,False,Q3
2025-09-23,2025,9,23,1,39,False,False,Q3
2025-09-24,2025,9,24,2,39,False,False,Q3
2025-09-25,2025,9,25,3,39,False,False,Q3
2025-09-26,2025,9,26,4,39,False,False,Q3
2025-09-27,2025,9,27,5,39,True,False,Q3
2025-09-28,2025,9,28,6,39,True,False,Q3
2025-09-29,2025,9,29,0,40,False,False,Q3
2025-09-30,2025,9,30,1,40,False,False,Q3
2025-10-01,2025,10,1,2,40,False,True,Q4
2025-10-02,2025,10,2,3,40,False,False,Q4
2025-10-03,2025,10,3,4,40,False,False,Q4
2025-10-04,2025,10,4,5,40,True,False,Q4
2025-10-05,2025,10,5,6,40,True,False,Q4
2025-10-06,2025,10,6,0,41,False,False,Q4
2025-10-07,2025,10,7,1,41,False,False,Q4
2025-10-08,2025,10,8,2,41,False,False,Q4
2025-10-09,2025,10,9,3,41,False,False,Q4
2025-10-10,2025,10,10,4,41,False,False,Q4
2025-10-11,2025,10,11,5,41,True,False,Q4
2025-10-12,2025,10,12,6,41,True,False,Q4
2025-10-13,2025,10,13,0,42,False,False,Q4
2025-10-14,2025,10,14,1,42,False,False,Q4
2025-10-15,2025,10,15,2,42,False,True,Q4
2025-10-16,2025,10,16,3,42,False,False,Q4
2025-10-17,2025,10,17,4,42,False,False,Q4
2025-10-18,2025,10,18,5,42,True,False,Q4
2025-10-19,2025,10,19,6,42,True,False,Q4
2025-10-20,2025,10,20,0,43,False,False,Q4
2025-10-21,2025,10,21,1,43,False,False,Q4
2025-10-22,2025,10,22,2,43,False,False,Q4
2025-10-23,2025,10,23,3,43,False,False,Q4
2025-10-24,2025,10,24,4,43,False,False,Q4
2025-10-25,2025,10,25,5,43,True,False,Q4
2025-10-26,2025,10,26,6,43,True,False,Q4
2025-10-27,2025,10,27,0,44,False,False,Q4
2025-10-28,2025,10,28,1,44,False,False,Q4
2025-10-29,2025,10,29,2,44,False,False,Q4
2025-10-30,2025,10,30,3,44,False,False,Q4
2025-10-31,2025,10,31,4,44,False,False,Q4
2025-11-01,2025,11,1,5,44,True,True,Q4
2025-11-02,2025,11,2,6,44,True,False,Q4
2025-11-03,2025,11,3,0,45,False,False,Q4
2025-11-04,2025,11,4,1,45,False,False,Q4
2025-11-05,2025,11,5,2,45,False,False,Q4
2025-11-06,2025,11,6,3,45,False,False,Q4
2025-11-07,2025,11,7,4,45,False,False,Q4
2025-11-08,2025,11,8,5,45,True,False,Q4
2025-11-09,2025,11,9,6,45,True,False,Q4
2025-11-10,2025,11,10,0,46,False,False,Q4
2025-11-11,2025,11,11,1,46,False,False,Q4
2025-11-12,2025,11,12,2,46,False,False,Q4
2025-11-13,2025,11,13,3,46,False,False,Q4
2025-11-14,2025,11,14,4,46,False,False,Q4
2025-11-15,2025,11,15,5,46,True,True,Q4
2025-11-16,2025,11,16,6,46,True,False,Q4
2025-11-17,2025,11,17,0,47,False,False,Q4
2025-11-18,2025,11,18,1,47,False,False,Q4
2025-11-19,2025,11,19,2,47,False,False,Q4
2025-11-20,2025,11,20,3,47,False,False,Q4
2025-11-21,2025,11,21,4,47,False,False,Q4
2025-11-22,2025,11,22,5,47,True,False,Q4
2025-11-23,2025,11,23,6,47,True,False,Q4
2025-11-24,2025,11,24,0,48,False,False,Q4
2025-11-25,2025,11,25,1,48,False,False,Q4
2025-11-26,2025,11,26,2,48,False,False,Q4
2025-11-27,2025,11,27,3,48,False,False,Q4
2025-11-28,2025,11,28,4,48,False,False,Q4
2025-11-29,2025,11,29,5,48,True,False,Q4
2025-11-30,2025,11,30,6,48,True,False,Q4
2025-12-01,2025,12,1,0,49,False,True,Q4
2025-12-02,2025,12,2,1,49,False,False,Q4
2025-12-03,2025,12,3,2,49,False,False,Q4
2025-12-04,2025,12,4,3,49,False,False,Q4
2025-12-05,2025,12,5,4,49,False,False,Q4
2025-12-06,2025,12,6,5,49,True,False,Q4
2025-12-07,2025,12,7,6,49,True,False,Q4
2025-12-08,2025,12,8,0,50,False,False,Q4
2025-12-09,2025,12,9,1,50,False,False,Q4
2025-12-10,2025,12,10,2,50,False,False,Q4
2025-12-11,2025,12,11,3,50,False,False,Q4
2025-12-12,2025,12,12,4,50,False,False,Q4
2025-12-13,2025,12,13,5,50,True,False,Q4
2025-12-14,2025,12,14,6,50,True,False,Q4
2025-12-15,2025,12,15,0,51,False,True,Q4
2025-12-16,2025,12,16,1,51,False,False,Q4
2025-12-17,2025,12,17,2,51,False,False,Q4
2025-12-18,2025,12,18,3,51,False,False,Q4
2025-12-19,2025,12,19,4,51,False,False,Q4
2025-12-20,2025,12,20,5,51,True,False,Q4
2025-12-21,2025,12,21,6,51,True,False,Q4
2025-12-22,2025,12,22,0,52,False,False,Q4
2025-12-23,2025,12,23,1,52,False,False,Q4
2025-12-24,2025,12,24,2,52,False,False,Q4
2025-12-25,2025,12,25,3,52,False,False,Q4
2025-12-26,2025,12,26,4,52,False,False,Q4
2025-12-27,2025,12,27,5,52,True,False,Q4
2025-12-28,2025,12,28,6,52,True,False,Q4
2025-12-29,2025,12,29,0,1,False,False,Q4
2025-12-30,2025,12,30,1,1,False,False,Q4
2025-12-31,2025,12,31,2,1,False,False,Q4
