promotion_id,product_id,store_id,start_date,end_date,promotion_type,discount_rate
PR0045,P0094,S03,2025-03-28,2025-04-02,Display,0.105
PR0046,P0070,S01,2025-09-26,2025-09-29,Discount,0.334
PR0047,P0086,S01,2025-01-04,2025-01-13,Buy1Get1,0.303
PR0048,P0030,S01,2025-03-19,2025-03-22,Buy1Get1,0.202
PR0049,P0048,S01,2025-11-13,2025-11-23,Display,0.055
PR0050,P0069,S05,2025-07-30,2025-08-02,Discount,0.209
PR0051,P0036,S05,2025-05-27,2025-05-30,Display,0.292
PR0052,P0023,S01,2025-02-19,2025-02-24,Buy1Get1,0.108
PR0053,P0068,S03,2025-07-01,2025-07-08,Display,0.074
PR0054,P0052,S04,2025-10-17,2025-10-23,Buy1Get1,0.14
PR0055,P0011,S01,2025-02-17,2025-02-26,Display,0.163
PR0056,P0061,S01,2025-11-23,2025-11-26,Buy1Get1,0.075
PR0057,P0056,S03,2025-10-17,2025-10-21,Discount,0.119
PR0058,P0089,S05,2025-09-01,2025-09-08,Discount,0.327
PR0059,P0088,S03,2025-10-06,2025-10-09,Buy1Get1,0.329
PR0060,P0041,S01,2025-04-17,2025-04-22,Display,0.329
PR0061,P0039,S02,2025-10-16,2025-10-22,Display,0.253
PR0062,P0070,S03,2025-07-16,2025-07-21,Discount,0.2
PR0063,P0045,S01,2025-02-20,2025-03-01,Buy1Get1,0.302
PR0064,P0044,S05,2025-11-11,2025-11-20,Bundle,0.059
PR0065,P0035,S04,2025-09-09,2025-09-15,Bundle,0.216
PR0066,P0049,S04,2025-04-06,2025-04-15,Discount,0.282
PR0067,P0038,S02,2025-02-07,2025-02-11,Bundle,0.096
PR0068,P0092,S02,2025-07-19,2025-07-27,Bundle,0.082
PR0069,P0001,S03,2025-08-16,2025-08-24,Bundle,0.081
PR0070,P0012,S02,2025-08-09,2025-08-19,Display,0.081
PR0071,P0012,S03,2025-10-11,2025-10-15,Bundle,0.309
PR0072,P0002,S03,2025-07-31,2025-08-09,Discount,0.267
PR0073,P0072,S02,2025-10-20,2025-10-25,Display,0.101
PR0074,P0035,S03,2025-05-18,2025-05-28,Buy1Get1,0.069
PR0075,P0056,S03,2025-08-04,2025-08-11,Display,0.285
PR0076,P0047,S03,2025-05-07,2025-05-17,Buy1Get1,0.187
PR0077,P0018,S03,2025-01-04,2025-01-13,Bundle,0.302
PR0078,P0049,S03,2025-08-14,2025-08-22,Display,0.295
PR0079,P0084,S05,2025-03-11,2025-03-18,Bundle,0.231
PR0080,P0089,S02,2025-09-03,2025-09-11,Buy1Get1,0.339
PR0081,P0041,S03,2025-12-22,2025-12-31,Buy1Get1,0.148
PR0082,P0036,S04,2025-07-06,2025-07-10,Buy1Get1,0.228
PR0083,P0070,S02,2025-12-16,2025-12-19,Display,0.333
PR0084,P0027,S04,2025-05-30,2025-06-03,Display,0.252
PR0085,P0018,S03,2025-05-04,2025-05-11,Buy1Get1,0.265
PR0086,P0049,S01,2025-08-18,2025-08-28,Display,0.21
PR0087,P0089,S04,2025-10-06,2025-10-09,Bundle,0.26
PR0088,P0069,S05,2025-11-23,2025-11-27,Discount,0.281
PR0089,P0085,S03,2025-03-27,2025-03-30,Display,0.34
PR0090,P0043,S04,2025-02-24,2025-02-27,Discount,0.128
PR0091,P0066,S05,2025-10-13,2025-10-19,Display,0.162
PR0092,P0060,S05,2025-12-20,2025-12-25,Bundle,0.349
PR0093,P0062,S01,2025-06-01,2025-06-10,Discount,0.085
PR0094,P0094,S02,2025-06-28,2025-07-05,Bundle,0.187
PR0095,P0027,S05,2025-09-05,2025-09-13,Display,0.079
PR0096,P0093,S04,2025-06-13,2025-06-17,Bundle,0.063
PR0097,P0091,S01,2025-01-12,2025-01-20,Discount,0.253
PR0098,P0022,S02,2025-09-22,2025-09-27,Buy1Get1,0.149
PR0099,P0055,S04,2025-04-29,2025-05-08,Buy1Get1,0.106
PR0100,P0085,S04,2025-07-22,2025-07-25,Buy1Get1,0.185
PR0101,P0055,S04,2025-01-03,2025-01-09,Buy1Get1,0.134
PR0102,P0091,S01,2025-10-23,2025-10-27,Buy1Get1,0.16
PR0103,P0026,S04,2025-02-28,2025-03-07,Display,0.208
PR0104,P0082,S03,2025-11-02,2025-11-11,Display,0.226
PR0105,P0045,S03,2025-08-23,2025-08-28,Bundle,0.326
PR0106,P0076,S01,2025-12-11,2025-12-16,Bundle,0.085
PR0107,P0040,S01,2025-04-04,2025-04-12,Buy1Get1,0.203
PR0108,P0054,S05,2025-03-12,2025-03-21,Display,0.106
PR0109,P0082,S05,2025-12-22,2025-12-27,Buy1Get1,0.197
PR0110,P0018,S02,2025-06-11,2025-06-21,Discount,0.31
PR0111,P0002,S04,2025-03-11,2025-03-17,Display,0.339
PR0112,P0065,S04,2025-07-29,2025-08-08,Display,0.263
PR0113,P0057,S04,2025-03-27,2025-03-31,Discount,0.289
PR0114,P0029,S03,2025-01-17,2025-01-24,Buy1Get1,0.211
PR0115,P0022,S04,2025-10-17,2025-10-27,Discount,0.222
PR0116,P0035,S05,2025-07-07,2025-07-10,Display,0.214
PR0117,P0055,S01,2025-12-01,2025-12-07,Bundle,0.312
PR0118,P0005,S04,2025-05-15,2025-05-23,Discount,0.182
PR0119,P0016,S02,2025-04-18,2025-04-26,Display,0.1
PR0120,P0018,S02,2025-04-16,2025-04-19,Bundle,0.21
PR0121,P0077,S05,2025-03-28,2025-04-05,Bundle,0.137
PR0122,P0035,S05,2025-12-14,2025-12-18,Buy1Get1,0.339
PR0123,P0053,S01,2025-05-22,2025-05-27,Buy1Get1,0.125
PR0124,P0092,S03,2025-05-07,2025-05-16,Display,0.093
PR0125,P0081,S03,2025-11-18,2025-11-27,Display,0.186
PR0126,P0082,S01,2025-07-26,2025-08-02,Bundle,0.186
PR0127,P0063,S03,2025-10-25,2025-10-28,Discount,0.269
PR0128,P0059,S03,2025-02-02,2025-02-11,Buy1Get1,0.34
PR0129,P0028,S04,2025-05-18,2025-05-26,Bundle,0.151
PR0130,P0074,S02,2025-10-17,2025-10-27,Bundle,0.318
PR0131,P0098,S01,2025-01-24,2025-01-28,Display,0.055
PR0132,P0021,S04,2025-08-22,2025-08-25,Display,0.111
PR0133,P0089,S02,2025-11-29,2025-12-06,Buy1Get1,0.312
PR0134,P0036,S01,2025-12-02,2025-12-10,Bundle,0.075
PR0135,P0086,S02,2025-01-27,2025-02-05,Bundle,0.268
PR0136,P0097,S02,2025-08-08,2025-08-12,Discount,0.05
PR0137,P0062,S01,2025-03-09,2025-03-15,Display,0.053
PR0138,P0090,S03,2025-03-03,2025-03-12,Buy1Get1,0.193
PR0139,P0030,S04,2025-02-15,2025-02-19,Discount,0.144
PR0140,P0039,S02,2025-07-15,2025-07-20,Buy1Get1,0.071
PR0141,P0073,S01,2025-11-09,2025-11-14,Display,0.155
PR0142,P0028,S02,2025-07-30,2025-08-09,Buy1Get1,0.076
PR0143,P0013,S02,2025-03-05,2025-03-14,Bundle,0.339
PR0144,P0041,S02,2025-05-07,2025-05-14,Discount,0.124
PR0145,P0077,S05,2025-11-08,2025-11-15,Discount,0.304
PR0146,P0085,S03,2025-04-16,2025-04-22,Display,0.139
PR0147,P0007,S02,2025-09-11,2025-09-20,Discount,0.122
PR0148,P0082,S05,2025-02-06,2025-02-09,Bundle,0.33
PR0149,P0017,S04,2025-10-19,2025-10-28,Bundle,0.214
PR0150,P0023,S04,2025-02-07,2025-02-10,Discount,0.054
PR0151,P0028,S01,2025-01-31,2025-02-09,Bundle,0.239
PR0152,P0065,S04,2025-08-05,2025-08-14,Discount,0.242
PR0153,P0069,S05,2025-03-20,2025-03-27,Discount,0.143
PR0154,P0066,S02,2025-03-21,2025-03-29,Display,0.226
PR0155,P0098,S01,2025-06-08,2025-06-17,Buy1Get1,0.067
PR0156,P0012,S04,2025-03-01,2025-03-11,Discount,0.143
PR0157,P0095,S02,2025-03-03,2025-03-06,Buy1Get1,0.26
PR0158,P0021,S04,2025-06-27,2025-07-04,Buy1Get1,0.162
PR0159,P0096,S03,2025-03-02,2025-03-05,Bundle,0.292
PR0160,P0035,S05,2025-02-02,2025-02-09,Discount,0.199
PR0161,P0066,S03,2025-01-29,2025-02-08,Buy1Get1,0.16
PR0162,P0033,S01,2025-10-21,2025-10-25,Buy1Get1,0.272
PR0163,P0001,S01,2025-01-07,2025-01-13,Discount,0.192
PR0164,P0050,S02,2025-04-02,2025-04-05,Display,0.117
PR0165,P0032,S04,2025-06-13,2025-06-20,Discount,0.221
PR0166,P0016,S05,2025-12-11,2025-12-14,Buy1Get1,0.117
PR0167,P0067,S01,2025-07-25,2025-07-29,Display,0.31
PR0168,P0100,S03,2025-06-17,2025-06-21,Display,0.052
PR0169,P0026,S03,2025-10-16,2025-10-23,Buy1Get1,0.189
PR0170,P0076,S04,2025-04-11,2025-04-17,Buy1Get1,0.052
PR0171,P0053,S01,2025-04-30,2025-05-08,Discount,0.335
PR0172,P0001,S04,2025-06-07,2025-06-11,Buy1Get1,0.209
PR0173,P0031,S04,2025-09-09,2025-09-12,Buy1Get1,0.263
PR0174,P0012,S01,2025-04-29,2025-05-08,Bundle,0.188
PR0175,P0096,S01,2025-10-25,2025-10-29,Buy1Get1,0.241
PR0176,P0051,S01,2025-10-31,2025-11-03,Display,0.249
PR0177,P0017,S02,2025-05-30,2025-06-06,Bundle,0.328
PR0178,P0051,S03,2025-06-12,2025-06-22,Bundle,0.12
PR0179,P0026,S02,2025-10-27,2025-10-31,Buy1Get1,0.082
PR0180,P0058,S04,2025-06-10,2025-06-19,Discount,0.211
PR0181,P0089,S02,2025-01-03,2025-01-13,buy_one_get_one,0.15
PR0182,P0038,S01,2025-04-12,2025-04-15,buy_one_get_one,0.2
PR0183,P0019,S02,2025-07-31,2025-08-13,buy_one_get_one,0.3
PR0184,P0006,S03,2025-07-16,2025-07-19,buy_one_get_one,0.1
PR0185,P0065,S01,2025-04-16,2025-04-19,discount,0.1
PR0186,P0144,S01,2025-05-23,2025-06-02,discount,0.3
PR0187,P0008,S02,2025-03-24,2025-04-03,festival_offer,0.2
PR0188,P0028,S01,2025-08-24,2025-09-07,festival_offer,0.3
PR0189,P0058,S05,2025-07-06,2025-07-20,discount,0.1
PR0190,P0035,S03,2025-05-16,2025-05-25,buy_one_get_one,0.15
PR0191,P0073,S04,2025-10-26,2025-11-05,buy_one_get_one,0.3
PR0192,P0086,S01,2025-06-02,2025-06-16,buy_one_get_one,0.3
PR0193,P0066,S04,2025-06-14,2025-06-18,bundle,0.1
PR0194,P0026,S01,2025-12-05,2025-12-15,discount,0.05
PR0195,P0008,S02,2025-02-08,2025-02-20,bundle,0.2
PR0196,P0077,S03,2025-04-18,2025-04-27,buy_one_get_one,0.05
PR0197,P0055,S04,2025-02-13,2025-02-16,bundle,0.05
PR0198,P0067,S04,2025-06-28,2025-07-04,bundle,0.3
PR0199,P0062,S02,2025-05-03,2025-05-16,discount,0.3
PR0200,P0054,S03,2025-08-15,2025-08-24,festival_offer,0.25
PR0201,P0074,S02,2025-06-20,2025-06-28,bundle,0.1
PR0202,P0061,S04,2025-11-11,2025-11-19,discount,0.1
PR0203,P0070,S05,2025-11-28,2025-12-07,buy_one_get_one,0.1
PR0204,P0092,S05,2025-07-11,2025-07-16,discount,0.05
PR0205,P0084,S04,2025-05-04,2025-05-11,discount,0.1
PR0206,P0061,S01,2025-06-20,2025-07-02,buy_one_get_one,0.1
PR0207,P0091,S04,2025-03-27,2025-04-03,buy_one_get_one,0.1
PR0208,P0074,S02,2025-05-25,2025-05-30,buy_one_get_one,0.15
PR0209,P0068,S03,2025-08-20,2025-08-26,festival_offer,0.25
PR0210,P0084,S03,2025-08-12,2025-08-15,bundle,0.05
PR0211,P0050,S02,2025-02-12,2025-02-17,buy_one_get_one,0.25
PR0212,P0045,S02,2025-03-20,2025-03-29,festival_offer,0.15
PR0213,P0053,S05,2025-03-31,2025-04-12,bundle,0.2
PR0214,P0097,S04,2025-06-30,2025-07-07,buy_one_get_one,0.1
PR0215,P0048,S05,2025-11-30,2025-12-14,bundle,0.15
PR0216,P0012,S01,2025-07-30,2025-08-12,festival_offer,0.3
PR0217,P0029,S05,2025-02-24,2025-03-08,discount,0.25
PR0218,P0134,S02,2025-07-07,2025-07-13,festival_offer,0.2
PR0219,P0149,S05,2025-10-05,2025-10-11,buy_one_get_one,0.3
PR0220,P0043,S04,2025-01-29,2025-02-08,bundle,0.25
PR0221,P0006,S03,2025-10-25,2025-11-08,festival_offer,0.3
PR0222,P0102,S05,2025-07-20,2025-07-23,buy_one_get_one,0.1
PR0223,P0073,S04,2025-01-25,2025-02-07,festival_offer,0.25
PR0224,P0029,S03,2025-01-16,2025-01-30,buy_one_get_one,0.3
PR0225,P0018,S01,2025-05-13,2025-05-19,festival_offer,0.1
PR0226,P0063,S05,2025-03-29,2025-04-08,buy_one_get_one,0.1
PR0227,P0028,S03,2025-05-02,2025-05-11,festival_offer,0.05
PR0228,P0034,S03,2025-10-13,2025-10-19,festival_offer,0.05
PR0229,P0150,S01,2025-01-01,2025-01-10,discount,0.2
PR0230,P0021,S04,2025-07-30,2025-08-09,buy_one_get_one,0.2
PR0231,P0127,S05,2025-01-23,2025-02-05,bundle,0.1
PR0232,P0119,S03,2025-08-15,2025-08-24,bundle,0.15
PR0233,P0031,S05,2025-05-25,2025-05-31,discount,0.3
PR0234,P0025,S02,2025-10-15,2025-10-22,discount,0.2
PR0235,P0127,S04,2025-02-18,2025-03-02,discount,0.3
PR0236,P0015,S01,2025-04-25,2025-04-30,buy_one_get_one,0.05
PR0237,P0067,S02,2025-11-05,2025-11-17,buy_one_get_one,0.3
PR0238,P0054,S03,2025-06-05,2025-06-09,discount,0.25
PR0239,P0105,S01,2025-07-05,2025-07-15,buy_one_get_one,0.1
PR0240,P0005,S01,2025-11-03,2025-11-11,festival_offer,0.05
PR0241,P0109,S03,2025-01-30,2025-02-09,bundle,0.15
PR0242,P0042,S01,2025-05-29,2025-06-11,discount,0.25
PR0243,P0035,S02,2025-06-07,2025-06-10,festival_offer,0.15
PR0244,P0126,S02,2025-08-17,2025-08-21,discount,0.1
PR0245,P0075,S03,2025-11-23,2025-11-29,discount,0.25
PR0246,P0006,S05,2025-04-26,2025-05-02,bundle,0.1
PR0247,P0144,S01,2025-12-13,2025-12-21,discount,0.1
PR0248,P0094,S05,2025-05-21,2025-05-27,buy_one_get_one,0.15
PR0249,P0135,S01,2025-09-22,2025-10-01,bundle,0.1
PR0250,P0006,S04,2025-11-21,2025-11-30,festival_offer,0.15
